N ORDEN,N CAMARA,BARRIOS,SINIESTRO,DIRECCION SINIESTRO,FECHA,HORA,CODIGO PARTICIPANTES,CODIGOS CAUSAS,SEMAFOROS,,,,
61,306,Playa Grande,1,Bvd. P.P. Ramos y Formosa,06/01/23,04:29:58,M,NSD,FALTA SUPERVISAR,,,,
62,478,Plaza Mitre,1,Independencia y Alberti,05/01/23,19:23:59,B,NSD,FALTA SUPERVISAR,,,,
63,344,San Cayetano,1,Luro y David Ortega,05/01/23,16:07:59,M,NSD,FALTA SUPERVISAR,,,,
64,80,Macrocentro,1,Corrientes y P Luro,05/01/23,12:42:59,PERSECUCION,NSD,FALTA SUPERVISAR,,,,
65,202,La Perla,1,Independencia y 3 de Febrero,04/01/23,13:03:59,M,MR,FALTA SUPERVISAR,,,,
66,207,Puerto,1,De los Trabajadores y Ortiz De Zarate,04/01/23,12:10:59,A/M,G,FALTA SUPERVISAR,,,,
67,502,Caisamar,1,Acevedo y R Rojas,03/01/23,18:14:59,A/B,NSD,FALTA SUPERVISAR,,,,
68,150,Bernardino Rivadavia,1,Alvarado y T. Bronzini,03/01/23,12:21:59,M,NSD,FALTA SUPERVISAR,,,,
69,323,Parque Palermo,1,Tetamanti y Gutemberg,03/01/23,11:48:59,M,NSD,FALTA SUPERVISAR,,,,
70,288,Termas Huinco,1,Fortunato de la Plaza y Triunvirato,02/01/23,15:53:59,A/B,D,FALTA SUPERVISAR,,,,
71,244,Juramento,1,Edison y Calabria,02/01/23,08:25:59,CTA/P,D,FALTA SUPERVISAR,,,,
72,84,Bernardino Rivadavia,1,Alvarado y Chile,01/01/23,11:28:59,A/CAM,NSD,FALTA SUPERVISAR,,,,
73,314,Libertad,1,Libertad y Chilavert,01/01/23,06:50:59,M,NSD,FALTA SUPERVISAR,,,,
74,23,Don Bosco,1,Colon y Marconi,30/01/23,15:35:00,A/M,NSD,FALTA SUPERVISAR,,,,
75,277,Punta Mogotes,1,Vertiz & De los Trabajadores,30/01/23,14:52:59,M,EV,FALTA SUPERVISAR,,,,
76,472,Bosque Grande,1,Fortunato de la Plaza y R. Universitaria,30/01/23,14:24:00,A/M,NSD,FALTA SUPERVISAR,,,,
77,440,Lomas de Stella Maris,1,Bvd. P.P. Ramos y Urquiza,30/01/23,14:21:00,A/M,NSD,FALTA SUPERVISAR,,,,
78,246,Libertad,1,Ruta 226 y Tarantino,30/01/23,12:24:00,A/A/A,NSD,FALTA SUPERVISAR,,,,
79,153,San Juan,1,Colon y Funes,30/01/23,09:15:59,A/M,NSD,FALTA SUPERVISAR,,,,
80,702,San Jose,1,Independencia y Juan B Justo,30/01/23,07:59:00,A/M,G,FALTA SUPERVISAR,,,,
81,586,Los Andes,1,Colon y Champagnat,30/01/23,07:37:00,A/M,NSD,FALTA SUPERVISAR,,,,
82,29,Parque Luro,1,F.U. Camet y Valencia,30/01/23,17:24:00,A/M,NSD,FALTA SUPERVISAR,,,,
83,475,Belisario Roldan,1,A. Alio y R. Peña,31/01/23,08:19:00,A/M,G,FALTA SUPERVISAR,,,,
84,33,Villa Lourdes,1,12 de Octubre y T. Edison,31/01/23,10:59:59,A/P,NSD,FALTA SUPERVISAR,,,,
85,67,San Jose,1,Independencia y Matheu,31/01/23,14:33:00,M,NSD,FALTA SUPERVISAR,,,,
86,401,Bosque Grande,1,Fortunato de la Plaza y Guerrico,31/01/23,17:39:00,A/M,G,FALTA SUPERVISAR,,,,
87,202,La Perla,1,independencia y 11 de Septiembre,01/02/23,12:10:00,A/B,NSD,FALTA SUPERVISAR,,,,
88,390,El Progreso,1,J. P. Ramos y El Cano,01/02/23,14:59:00,A/M,NSD,FALTA SUPERVISAR,,,,
89,145,Santa Monica,1,J.B. Justo y Chile,01/02/23,16:58:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
90,583,Centro,1,Bvd. P.P. Ramos y Santa Fe,01/02/23,19:26:00,A/A,A,FALTA SUPERVISAR,,,,
91,542,Centro,1,Rivadavia y Jujuy,02/02/23,12:25:00,A/P,NSD,FALTA SUPERVISAR,,,,
92,296,El Martillo,1,J. P. Ramos y Napoles,02/02/23,12:33:00,A/CAM,NSD,FALTA SUPERVISAR,,,,
93,586,Los Andes,1,Colon y Champagnat,02/02/23,14:45:00,A/M,NSD,FALTA SUPERVISAR,,,,
94,376,San Carlos,1,J. J. Paso y Buenos Aires,02/02/23,16:46:00,M,NR,NO,,,,
95,633,Bosque Grande,1,Vertiz y Mc Gaul,02/02/23,15:45:00,A/P,D,FALTA SUPERVISAR,,,,
96,142,Los Pinares,1,Zabala y Alio ,02/02/23,18:03:00,M,NSD,FALTA SUPERVISAR,,,,
97,417,General Pueyrredon,1,Genova y Camusso,02/02/23,18:41:00,COL/A,NSD,FALTA SUPERVISAR,,,,
98,706,Villa Primera,1,Luro y Champagnat,02/02/23,20:57:00,A/M,MR,FALTA SUPERVISAR,,,,
99,581,Centro,1,Independencia y Moreno,03/02/23,13:31:00,A/P,NR,SI,,,,
100,77,Don Emilio,1,Ruta 88 y Vertiz,03/02/23,06:59:00,A/M,NSD,FALTA SUPERVISAR,,,,
101,31,Peralta Ramos Oeste,1,Guanahani y Lisandro de la Torre,04/02/23,15:40:00,A/P,D,FALTA SUPERVISAR,,,,
102,30,Parque Luro,1,Tejedor y Valencia,04/02/23,17:06:00,M/B,NSD,FALTA SUPERVISAR,,,,
103,573,El Colmenar,1,Ruta 88 y Km 12,04/02/23,20:32:00,A/A,NSD,FALTA SUPERVISAR,,,,
104,24,San Cayetano,1,Colon y Coronel Suarez,04/02/23,22:10:00,A/B,NSD,FALTA SUPERVISAR,,,,
105,308,Playa Grande,1,Bvd. P.P. Ramos y San Lorenzo,05/02/23,02:53:00,A/CAM,A,FALTA SUPERVISAR,,,,
106,804,La Perla,1,Bvd. P.P. Ramos y Chacabuco,05/02/23,09:56:00,M,MR,FALTA SUPERVISAR,,,,
107,144,Santa Monica,1,Juan B. Justo y San Juan,06/02/23,10:38:00,A/M,NSD,FALTA SUPERVISAR,,,,
108,80,Macrocentro,1,Buenos Aires y Belgrano,06/02/23,10:49:00,A/P,NSD,FALTA SUPERVISAR,,,,
109,477,San Jose,1,Independencia y Avellaneda,06/02/23,17:06:00,A/M,NSD,FALTA SUPERVISAR,,,,
110,666,Villa Lourdes,1,Padre Dutto y San Salvador,06/02/23,18:11:00,A/M,NSD,FALTA SUPERVISAR,,,,
111,409,Primera Junta,1,J.J. Paso y Cordoba,06/02/23,20:49:00,A/M,NSD,FALTA SUPERVISAR,,,,
112,677,Playa Grande,1,Bvd. P.P. Ramos y Saavedra,07/02/23,11:30:00,A/A/A/A,D,FALTA SUPERVISAR,,,,
113,483,Don Bosco,1,Colon e Italia,07/02/23,13:17:00,A/P,D,FALTA SUPERVISAR,,,,
114,223,Los Acantilados,1,Ruta 11 y calle 503,08/02/23,13:57:00,A/P,NSD,FALTA SUPERVISAR,,,,
115,447,Bernardino Rivadavia,1,Jara y Almafuerte,08/02/23,14:34:00,A/M,MR,FALTA SUPERVISAR,,,,
116,705,Centro,1,Luro y Buenos Aires,08/02/23,15:05:00,A/A/A,D,FALTA SUPERVISAR,,,,
117,622,Las Americas,1,J.B. Justo y Champagnat,08/02/23,15:43:00,A/B,NSD,FALTA SUPERVISAR,,,,
118,401,Bosque Grande,1,R. Inda y Fortunato de la Plaza,08/02/23,18:19:00,M/P,PI,FALTA SUPERVISAR,,,,
119,436,Centro,1,Luro y Cordoba,08/02/23,18:38:00,COL/A,NSD,FALTA SUPERVISAR,,,,
120,329,Jorge Newbery,1,Ecuador y Luro,08/02/23,21:12:00,B/P,NSD,FALTA SUPERVISAR,,,,
121,28,Caisamar,1,Constitucion y Carballo,09/02/23,14:57:00,A/P,MR,FALTA SUPERVISAR,,,,
122,214,Villa Lourdes,1,Juan B. Justo y Urquiza,09/02/23,15:52:00,CAM/M,MR,FALTA SUPERVISAR,,,,
123,302,Villa Lourdes,1,Vertiz y Lanzilota,09/02/23,19:47:00,A/M,NSD,FALTA SUPERVISAR,,,,
124,627,Punta Mogotes,1,Arana y Goiri y De los Trabajadores,09/02/23,19:59:00,A/B,D,FALTA SUPERVISAR,,,,
125,472,Bosque Grande,1,Fortunato de la Plaza y Fitte,10/02/23,12:38:00,M/M,NSD,FALTA SUPERVISAR,,,,
126,139,Villa Primera,1,Zabala y Berutti,10/02/23,12:51:00,A/B,D,FALTA SUPERVISAR,,,,
127,244,Juramento,1,Aut. Jorge Newbery e Isla De los Estados,10/02/23,14:53:00,A/M,NSD,FALTA SUPERVISAR,,,,
128,204,Lomas de Stella Maris,1,Colon y Lamadrid,10/02/23,16:30:00,A/M,NSD,FALTA SUPERVISAR,,,,
129,335,Jorge Newbery,1,Colon y Siria,10/02/23,15:49:00,M/M,NSD,FALTA SUPERVISAR,,,,
130,487,Playa Serena,1,Ruta 11 y calle 445,10/02/23,18:34:00,B/P,NSD,FALTA SUPERVISAR,,,,
131,809,Los Andes,1,Luro y Mexico,11/02/23,18:57:00,B,PC,FALTA SUPERVISAR,,,,
132,700,San Juan,1,Independencia e Colon,12/02/23,06:22:00,M,D,FALTA SUPERVISAR,,,,
133,440,Lomas de Stella Maris,1,Bvd. P.P. Ramos y Pellegrini,12/02/23,11:06:00,A/P,NSD,FALTA SUPERVISAR,,,,
134,113,San Jose,1,Gral. Roca y Cordoba,12/02/23,14:33:00,A/M,D,FALTA SUPERVISAR,,,,
135,362,Punta Mogotes,1,De los Trabajadores y Malabia,13/02/23,14:36:00,A/A,A,FALTA SUPERVISAR,,,,
136,293,El Progreso,1,Fortunato de la Plaza y Galicia,13/02/23,16:32:00,M,P,FALTA SUPERVISAR,,,,
137,213,Villa Evita,1,Fortunato de la Plaza y Namuncura,13/02/23,17:28:00,A/M,NSD,FALTA SUPERVISAR,,,,
138,376,San Carlos,1,J. J. Paso y LamaDriD,13/02/23,17:46:00,A/M,NR,NO,,,,
139,586,Los Andes,1,Champagnat y Belgrano,13/02/23,18:53:00,CAM/B,NSD,FALTA SUPERVISAR,,,,
140,537,Villa Primera,1,Libertad y Mexico,14/02/23,12:41:00,M/B,FV,FALTA SUPERVISAR,,,,
141,255,Caisamar,1,De la Paolera y Alice,14/02/23,16:05:00,A/M,NSD,FALTA SUPERVISAR,,,,
142,408,San Jose,1,San Luis y Formosa,14/02/23,18:00:00,A/M,NSD,FALTA SUPERVISAR,,,,
143,414,Jorge Newbery,1,Colon y Brasil,14/02/23,22:08:00,M,PC,FALTA SUPERVISAR,,,,
144,244,Juramento,1,Mario Bravo y Acha,15/02/23,08:25:00,A/M,G,FALTA SUPERVISAR,,,,
145,296,El Martillo,1,J. P. Ramos y Puan,15/02/23,11:12:00,A/P,NR,SI,,,,
146,49,Villa Primera,1,Libertad y Francia,15/02/23,13:58:00,A/M,NSD,FALTA SUPERVISAR,,,,
147,159,Coronel Dorrego,1,Luro y Rauch,15/02/23,19:41:00,A/A,NSD,FALTA SUPERVISAR,,,,
148,244,Juramento,1,Don Orione y Mario Bravo,16/02/23,08:04:00,A/M,NSD,FALTA SUPERVISAR,,,,
149,706,Villa Primera,1,Champagnat y 9 De Julio,16/02/23,08:52:00,CAM/B,NSD,FALTA SUPERVISAR,,,,
150,431,San Jacinto,1,Libertad y Neuquen,19/02/23,11:05:00,A/M,NSD,FALTA SUPERVISAR,,,,
151,477,San Jose,1,Independencia y Garay,19/02/23,06:31:00,A/CAM,NSD,FALTA SUPERVISAR,,,,
152,51,Villa Primera,1,Libertad y 1 De Mayo,19/02/23,08:05:00,A/A,NSD,FALTA SUPERVISAR,,,,
153,678,Santa Rita,1,Vertiz y Camusso,19/02/23,08:58:00,M,D,FALTA SUPERVISAR,,,,
154,389,Peralta Ramos Oeste,1,J. P. Ramos y Ayolas,19/02/23,12:30:00,A/M,MR,FALTA SUPERVISAR,,,,
155,595,Peralta Ramos Oeste,1,Guanahani y LisaNSDro De Torre,20/02/23,08:23:00,A/P,NSD,FALTA SUPERVISAR,,,,
156,438,Centro,1,Bvd. P.P. Ramos y 9 De Julio,20/02/23,10:08:00,A/B,NSD,FALTA SUPERVISAR,,,,
157,206,Los Acantilados,1,Ruta 11 y calle 491,21/02/23,10:55:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
158,77,Don Emilio,1,Ruta 88 y Guanahani,22/02/23,09:23:00,B,NSD,FALTA SUPERVISAR,,,,
159,437,La Perla,1,25 De Mayo y Mitre,22/02/23,11:38:00,A/A,PC,FALTA SUPERVISAR,,,,
160,55,Sarmiento,1,Luro y Bronzini,22/02/23,12:54:00,A/P,PI,FALTA SUPERVISAR,,,,
161,522,Centro,1,Belgrano y Santiago Del Estero,22/02/23,16:27:00,A/P,D,FALTA SUPERVISAR,,,,
162,262,Parque Luro,1,Bvd. P.P. Ramos y Berutti,22/02/23,18:45:00,A/M,NSD,FALTA SUPERVISAR,,,,
163,809,Los Andes,1,Luro y Chile,23/02/23,11:30:00,A/B,NSD,FALTA SUPERVISAR,,,,
164,700,San Juan,1,Independencia y Moreno,23/02/23,11:19:00,A/P,NSD,FALTA SUPERVISAR,,,,
165,365,Primera Junta,1,J.B. Justo y Entre Rios,23/02/23,18:30:00,A/B,D,FALTA SUPERVISAR,,,,
166,139,Villa Primera,1,Zabala y Berutti,23/02/23,19:32:00,A/A/M,FV,FALTA SUPERVISAR,,,,
167,596,Centro,1,Luro y Jujuy,23/02/23,21:12:00,A/P,NSD,FALTA SUPERVISAR,,,,
168,153,San Juan,1,Colon y Dorrego,24/02/23,17:56:00,A/CAM,NR,SI,,,,
169,153,San Juan,1,Colon y Guido,24/02/23,17:59:00,A/M,D,FALTA SUPERVISAR,,,,
170,378,Playa Grande,1,Almafuerte y B.De Irigoyen,24/02/23,20:22:00,CTA/P,PI,FALTA SUPERVISAR,,,,
171,485,Los Andes,1,Colon y V. Montes,24/02/23,21:59:00,A/M,A,FALTA SUPERVISAR,,,,
172,29,Parque Luro,1,Constitucion y F.U. Camet,25/02/23,02:55:00,A/M,A,FALTA SUPERVISAR,,,,
173,328,Jorge Newbery,1,Luro y Venezuela,25/02/23,12:00:00,M,P,FALTA SUPERVISAR,,,,
174,262,Parque Luro,1,Falkner y Bvd. P.P. Ramos,26/02/23,13:29:00,M,PC,FALTA SUPERVISAR,,,,
175,358,Villa Lourdes,1,Edison y Solis,26/02/23,13:50:00,A/M,NR,NO,,,,
176,22,Coronel Dorrego,1,Alio y Ate Brown,26/02/23,15:30:00,A/M,NSD,FALTA SUPERVISAR,,,,
177,209,Rumenco,1,Aut. Jorge Newbery y calle 479,26/02/23,18:43:00,A/A/A,NSD,FALTA SUPERVISAR,,,,
178,111,Centro,1,Santa Fe y San Martin,27/02/23,00:25:00,A/P,A,FALTA SUPERVISAR,,,,
179,344,San Cayetano,1,Luro y R. EscalaDa,27/02/23,04:39:00,M,PC,FALTA SUPERVISAR,,,,
180,477,San Jose,1,Independencia y Avellaneda,27/02/23,10:53:00,M/P,VS,FALTA SUPERVISAR,,,,
181,506,Parque Luro,1,Rejon y Patagones,28/02/23,12:29:00,A/M,NR,NO,,,,
182,596,Centro,1,Independencia y 25 De Mayo,28/02/23,12:45:00,AMB/A,G,FALTA SUPERVISAR,,,,
183,523,Centro,1,Colon y Cordoba,28/02/23,18:54:00,A/M,G,FALTA SUPERVISAR,,,,
184,304,Florentino Ameghino,1,Luro y Carrillo,01/03/23,07:13:00,M/P,D,FALTA SUPERVISAR,,,,
185,372,San Carlos,1,J.J. Paso y Pellegrini,01/03/23,07:41:00,A/M,NR,NO,,,,
186,262,Parque Luro,1,Felix U. Camet y Berutti,02/03/23,07:49:00,A/A,NSD,FALTA SUPERVISAR,,,,
187,513,Los Pinares,1,Zabala y Berutti,02/03/23,07:00:00,CTA/CAM,NSD,FALTA SUPERVISAR,,,,
188,556,San Jose,1,Alvarado y H. Yrigoyen,02/03/23,09:19:00,A/P,D,FALTA SUPERVISAR,,,,
189,702,San Jose,1,Independencia y Larrea,02/03/23,13:12:00,A/M,G,FALTA SUPERVISAR,,,,
190,145,Santa Monica,1,Jara y J.B. Justo,02/03/23,17:11:00,A/M,NSD,FALTA SUPERVISAR,,,,
191,288,Termas Huinco,1,Fortunato de la Plaza y Triunvirato,02/03/23,20:51:00,CTA/M,PC,FALTA SUPERVISAR,,,,
192,587,Parque Luro,1,Aragon y F.U. Camet,03/03/23,08:08:00,B,PC,FALTA SUPERVISAR,,,,
193,578,Macrocentro,1,Bvd. P.P. Ramos y Las Heras,03/03/23,16:06:00,A/M,G,FALTA SUPERVISAR,,,,
194,804,La Perla,1,Bvd. P.P. Ramos y Chacabuco,03/03/23,19:21:00,A/M,NSD,FALTA SUPERVISAR,,,,
195,270,Bosque Peralta Ramos,1,M. Bravo y Cabrera,04/03/23,00:30:00,M,P,FALTA SUPERVISAR,,,,
196,504,Parque Luro,1,Constitucion y M. Pedraza,04/03/23,01:39:00,M,NSD,FALTA SUPERVISAR,,,,
197,362,Punta Mogotes,1,De los Trabajadores y Colombres,04/03/23,16:38:00,M,PC,FALTA SUPERVISAR,,,,
198,440,Lomas de Stella Maris,1,Colon y Bvd. P.P. Ramos,05/03/23,01:03:00,M,PC,FALTA SUPERVISAR,,,,
199,251,Constitucion,1,Alice y F.U. Camet,05/03/23,14:35:00,M/COL,G,FALTA SUPERVISAR,,,,
200,49,Villa Primera,1,Jara y Libertad,06/03/23,01:58:00,A/A,NSD,FALTA SUPERVISAR,,,,
201,414,Jorge Newbery,1,Colon y Pigue,06/03/23,07:44:00,CTA/M,D,FALTA SUPERVISAR,,,,
202,621,Bosque Grande,1,Polonia y Tripulante Fournier,06/03/23,07:56:00,A/M,EV,FALTA SUPERVISAR,,,,
203,153,San Juan,1,Colon y Dorrego,06/03/23,07:58:00,A/A,D,FALTA SUPERVISAR,,,,
204,102,Villa Primera,1,Libertad y Chaco,06/03/23,13:08:00,A/A,NSD,FALTA SUPERVISAR,,,,
205,104,San Juan,1,La Pampa y Alberti,06/03/23,14:00:00,A/B,NSD,FALTA SUPERVISAR,,,,
206,527,Malvinas Argentinas,1,Alio y 3 De Febrero,07/03/23,07:51:00,M/B,D,FALTA SUPERVISAR,,,,
207,519,La Perla,1,9 De Julio y B. Mitre,07/03/23,12:19:00,A/B,NSD,FALTA SUPERVISAR,,,,
208,434,Centro,1,Entre Rios y Bolivar,07/03/23,19:29:00,A/P,NSD,FALTA SUPERVISAR,,,,
209,544,Centro,1,La Rioja y Belgrano,08/03/23,15:08:00,M/M,NSD,FALTA SUPERVISAR,,,,
210,33,Villa Lourdes,1,12 de Octubre y T. Edison,08/03/23,15:13:00,A/A/A,D,FALTA SUPERVISAR,,,,
211,231,Belisario Roldan,1,Alio y San Lorenzo,09/03/23,07:21:00,A/B,NSD,FALTA SUPERVISAR,,,,
212,451,Caisamar,1,Carballo y AceveDo,09/03/23,07:18:00,A/M,MR,FALTA SUPERVISAR,,,,
213,62,FlorencioSanchez,1,Ant. Argentina y Mario Bravo,09/03/23,16:58:00,CTA/M,EV,FALTA SUPERVISAR,,,,
214,431,San Jacinto,1,Libertad y Neuquen,09/03/23,20:32:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
215,139,Villa Primera,1,Zabala y Brandsen,10/03/23,06:07:00,CAM/B,NSD,FALTA SUPERVISAR,,,,
216,554,Primera Junta,1,Formosa y Santiago Del Estero,10/03/23,10:18:00,B,PC,FALTA SUPERVISAR,,,,
217,472,Bosque Grande,1,Fortunato de la Plaza y Mc Gaul,10/03/23,23:19:00,A/M,NSD,FALTA SUPERVISAR,,,,
218,134,Caisamar,1,Constitucion y Lasalle,11/03/23,09:49:00,A/M,NR,NO,,,,
219,586,Los Andes,1,Colon y Champagnat,11/03/23,11:03:00,CTA/M,NSD,FALTA SUPERVISAR,,,,
220,125,Nueve de Julio,1,Libertad y Champagnat,11/03/23,21:27:00,M,FV,FALTA SUPERVISAR,,,,
221,478,Plaza Mitre,1,Independencia y Alberti,12/03/23,06:10:00,M,A,FALTA SUPERVISAR,,,,
222,404,General Pueyrredon,1,Genova y Polonia,12/03/23,14:00:00,M/M,G,FALTA SUPERVISAR,,,,
