Real,Evento,año,mes,Tipo de Evento,Origen,N.º Cámara,Cámaras,Direccion 0,Direccion,Resultado,CIUDAD,PROVINCIA,PAIS,ENLACE,Longitud y Latitud,,,
1669,1,2023,1,Robo/Hurto Automotor,CATE 911,546,CON,Guemes,Falucho,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Guemes y Falucho , Buenos Aires , Argentina,-38.013260, -57.5397985
1682,1,2023,1,Robo/Hurto Automotor,CATE 911,353,CON,Corrientes,Juan B Justo,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Corrientes y Juan B Justo , Buenos Aires , Argentina,-38.030205, -57.569149
1700,1,2023,1,Robo/Hurto Automotor,CATE 911,702,CON,Juan B Justo,Jacinto Peralta Ramos,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Juan B Justo y Jacinto Peralta Ramos , Buenos Aires , Argentina,-38.018900, -57.5711611
1748,1,2023,1,Robo/Hurto Automotor,CATE 911,479,CON,Matheu,Independencia,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Matheu y Independencia , Buenos Aires , Argentina,-38.013140, -57.5665124
1825,1,2023,1,Robo/Hurto Automotor,CATE 911,54,CON,Pedro Luro,Termas De Rio Hondo,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Termas De Rio Hondo , Buenos Aires , Argentina,-37.974118, -57.5943871
1847,1,2023,1,Robo/Hurto Automotor,CATE 911,406,CON,Ayolas,Polonia,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Ayolas y Polonia , Buenos Aires , Argentina,-38.011097, -57.592101
2019,1,2023,1,Robo/Hurto Automotor,CATE 911,456,CON,Alberti,Sarmiento,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Alberti y Sarmiento , Buenos Aires , Argentina,-38.011749, -57.5427843
2202,1,2023,1,Robo/Hurto Automotor,CATE 911,550,CON,Garay,Guemes,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Garay y Guemes , Buenos Aires , Argentina,-38.015361, -57.5400556
2394,1,2023,1,Robo/Hurto Automotor,CATE 911,632,CON,Libertad,Mariano Acosta,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Libertad y Mariano Acosta , Buenos Aires , Argentina,-37.974359, -57.5804727
2447,1,2023,1,Robo/Hurto Automotor,CATE 911,467,CON,Reforma Universitaria,Doce de 10,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Reforma Universitaria y Doce de 10 , Buenos Aires , Argentina,-38.005710, -57.59577
2801,1,2023,1,Robo/Hurto Automotor,CATE 911,556,CON,Hipolito Yrigoyen,Alvarado,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Hipolito Yrigoyen y Alvarado , Buenos Aires , Argentina,-38.008369, -57.5583275
2840,1,2023,1,Robo/Hurto Automotor,CATE 911,111,CON,Rivadavia,Corrientes,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Rivadavia y Corrientes , Buenos Aires , Argentina,-38.001270, -57.5455517
2852,1,2023,1,Robo/Hurto Automotor,CATE 911,396,CON,Castelli,Chilabert,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Castelli y Chilabert , Buenos Aires , Argentina,-37.981067, -57.6100177
3014,1,2023,1,Robo/Hurto Automotor,CATE 911,579,CON,Alsina,Garay,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Alsina y Garay , Buenos Aires , Argentina,-38.014331, -57.5420614
3061,1,2023,1,Robo/Hurto Automotor,CATE 911,447,CON,Jara,Matheu,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Jara y Matheu , Buenos Aires , Argentina,-38.003964, -57.5846452
3063,1,2023,1,Robo/Hurto Automotor,CATE 911,117,CON,San Juan,Moreno,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,San Juan y Moreno , Buenos Aires , Argentina,-37.992875, -57.5643311
3099,1,2023,1,Robo/Hurto Automotor,CATE 911,476,CON,Independencia,Primera Junta,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Independencia y Primera Junta , Buenos Aires , Argentina,-38.009959, -57.5639469
3117,1,2023,1,Robo/Hurto Automotor,CATE 911,442,CON,Avellaneda,Aristobulo Del Valle,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Avellaneda y Aristobulo Del Valle , Buenos Aires , Argentina,-38.024548, -57.5288615
3325,1,2023,2,Robo/Hurto Automotor,CATE 911,213,CON,De La Plaza,Brumana,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,De La Plaza y Brumana , Buenos Aires , Argentina,-38.024153, -57.5989053
3337,1,2023,2,Robo/Hurto Automotor,CATE 911,438,CON,Juan B Alberdi,Santa Fe,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Juan B Alberdi y Santa Fe , Buenos Aires , Argentina,-37.999160, -57.5424627
3343,1,2023,2,Robo/Hurto Automotor,CATE 911,147,CON,Juan B Justo,Santiago Del Estero,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Juan B Justo y Santiago Del Estero , Buenos Aires , Argentina,-38.022930, -57.5658417
3534,1,2023,2,Robo/Hurto Automotor,CATE 911,390,CON,Jacinto Peralta Ramos,Tripulacion Del Fournier,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Jacinto Peralta Ramos y Tripulacion Del Fournier , Buenos Aires , Argentina,-38.027150, -57.5810893
3574,1,2023,2,Robo/Hurto Automotor,CATE 911,205,CON,Mendoza,Patricio Peralta Ramos,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Mendoza y Patricio Peralta Ramos , Buenos Aires , Argentina,-38.008686, -57.5332108
3677,1,2023,2,Robo/Hurto Automotor,CATE 911,401,CON,De La Plaza,Polonia,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,De La Plaza y Polonia , Buenos Aires , Argentina,-38.018654, -57.6063838
3709,1,2023,2,Robo/Hurto Automotor,CATE 911,244,CON,Mario Bravo,Thomas A Edison,Secuestro De Vehiculo,Mar del Plata,Buenos Aires,Argentina,Mario Bravo y Thomas A Edison , Buenos Aires , Argentina,-38.060584, -57.5712209
3721,1,2023,2,Robo/Hurto Automotor,CATE 911,39,CON,De Los Trabajadores,Puan,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,De Los Trabajadores y Puan , Buenos Aires , Argentina,-38.063469, -57.5467061
3764,1,2023,2,Robo/Hurto Automotor,CATE 911,132,CON,Della Paolera,Constitucion,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Della Paolera y Constitucion , Buenos Aires , Argentina,-37.953402, -57.577638
3765,1,2023,2,Robo/Hurto Automotor,CATE 911,420,CON,Alvarado,Dorrego,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Alvarado y Dorrego , Buenos Aires , Argentina,-38.003225, -57.5684679
3809,1,2023,2,Robo/Hurto Automotor,CATE 911,123,CON,Juan B Justo,Arturo Alio,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Juan B Justo y Arturo Alio , Buenos Aires , Argentina,-37.991077, -57.6081559
3853,1,2023,2,Robo/Hurto Automotor,CATE 911,582,CON,Juan B Alberdi,San Luis,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Juan B Alberdi y San Luis , Buenos Aires , Argentina,-37.998955, -57.5479019
4031,1,2023,2,Robo/Hurto Automotor,CATE 911,620,CON,Saavedra,Salta,Persecucion Y Perdida,Mar del Plata,Buenos Aires,Argentina,Saavedra y Salta , Buenos Aires , Argentina,-37.986889, -57.5962509
4157,1,2023,2,Robo/Hurto Automotor,CATE 911,113,CON,Roca,Cordoba,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Roca y Cordoba , Buenos Aires , Argentina,-38.012245, -57.5572385
4182,1,2023,2,Robo/Hurto Automotor,CATE 911,103,CON,Tucuman,Avenida Colon,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Tucuman y Colon , Buenos Aires , Argentina,-38.006448, -57.5441499
4205,1,2023,2,Robo/Hurto Automotor,COM,435,CON,San Martin,Santiago Del Estero,Persecucion Y Detencion,Mar del Plata,Buenos Aires,Argentina,San Martin y Santiago Del Estero , Buenos Aires , Argentina,-37.999956, -57.5459363
4356,1,2023,2,Robo/Hurto Automotor,CATE 911,442,CON,Avellaneda,Aristobulo Del Valle,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Avellaneda y Aristobulo Del Valle , Buenos Aires , Argentina,-38.024548, -57.5288615
4384,1,2023,2,Robo/Hurto Automotor,CATE 911,352,CON,Matteotti,Irala,Asiste Unidad Sanitaria y Traslada,Mar del Plata,Buenos Aires,Argentina,Matteotti y Irala , Buenos Aires , Argentina,-38.027851, -57.5701584
4492,1,2023,2,Robo/Hurto Automotor,CATE 911,595,CON,Gaboto,Florencio Sanchez,No Asiste,Mar del Plata,Buenos Aires,Argentina,Gaboto y Florencio Sanchez , Buenos Aires , Argentina,-38.021721, -57.5796599
4494,1,2023,2,Robo/Hurto Automotor,CATE 911,558,CON,Tucuman,Rodriguez Pena,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Tucuman y Rodriguez Pena , Buenos Aires , Argentina,-38.016046, -57.5518769
4514,1,2023,2,Robo/Hurto Automotor,CATE 911,91,CON,Villar,Carasa,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Villar y Carasa , Buenos Aires , Argentina,-38.034049, -57.5928098
4587,1,2023,2,Robo/Hurto Automotor,CATE 911,113,CON,Cordoba,San Lorenzo,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Cordoba y San Lorenzo , Buenos Aires , Argentina,-38.012245, -57.5572385
4644,1,2023,2,Robo/Hurto Automotor,CATE 911,103,CON,Tucuman,Falucho,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Tucuman y Falucho , Buenos Aires , Argentina,-38.006448, -57.5441499
4672,1,2023,2,Robo/Hurto Automotor,CATE 911,475,CON,Arturo Alio,San Lorenzo,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Arturo Alio y San Lorenzo , Buenos Aires , Argentina,-37.988587, -57.6061479
4678,1,2023,2,Robo/Hurto Automotor,CATE 911,540,CON,Belgrano,Italia,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Belgrano y Italia , Buenos Aires , Argentina,-37.990344, -57.5693109
4721,1,2023,2,Robo/Hurto Automotor,CATE 911,475,CON,Avellaneda,Estado De Israel,Se Realiza Seguimiento del Evento,Mar del Plata,Buenos Aires,Argentina,Avellaneda y Estado De Israel , Buenos Aires , Argentina,-37.988587, -57.6061479
4772,1,2023,2,Robo/Hurto Automotor,CATE 911,241,CON,Cerrito,calle 73,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Cerrito y calle 73 , Buenos Aires , Argentina,-38.058503, -57.5884982
4996,1,2023,2,Robo/Hurto Automotor,ORIGEN DIFERIDO,5001,SIN,Fermin Errea,Castelli,Asiste Bomberos,Mar del Plata,Buenos Aires,Argentina,Fermin Errea y Castelli , Buenos Aires , Argentina,-37.97243, -57.62701
4999,1,2023,2,Robo/Hurto Automotor,CATE 911,285,CON,Tripulacion Del Fournier,Posadas,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Tripulacion Del Fournier y Posadas , Buenos Aires , Argentina,-38.049688, -57.558046
5027,1,2023,2,Robo/Hurto Automotor,CATE 911,1,CON,Doce de Octubre,Fernandez,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Doce de Octubre y Fernandez , Buenos Aires , Argentina,-37.997846, -57.6062347
5052,1,2023,2,Robo/Hurto Automotor,CATE 911,447,CON,Jara,Matheu,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Jara y Matheu , Buenos Aires , Argentina,-38.003964, -57.5846452
5101,1,2023,2,Robo/Hurto Automotor,CATE 911,57,CON,Hipolito Yrigoyen,Pedro Luro,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Hipolito Yrigoyen y Pedro Luro , Buenos Aires , Argentina,-37.997093, -57.5491867
5126,1,2023,2,Robo/Hurto Automotor,CATE 911,577,CON,Tetamanti,Manrique,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Tetamanti y Manrique , Buenos Aires , Argentina,-38.020857, -57.6239556
5129,1,2023,2,Robo/Hurto Automotor,CATE 911,279,CON,Thomas A Edison,Napoles,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Thomas A Edison y Napoles , Buenos Aires , Argentina,-38.052473, -57.5613839
5194,1,2023,2,Robo/Hurto Automotor,CATE 911,445,CON,25 De mayo,Salta,No Asiste,Mar del Plata,Buenos Aires,Argentina,Veinticinco de Mayo y Salta , Buenos Aires , Argentina,-37.992600, -57.55569
5252,1,2023,2,Robo/Hurto Automotor,CATE 911,223,CON,Ruta 11,Calle 515,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Ruta 11 y Calle 515 , Buenos Aires , Argentina,-38.126321, -57.6021868
5292,1,2023,2,Robo/Hurto Automotor,CATE 911,256,CON,Jara,Santa Cruz,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Jara y Santa Cruz , Buenos Aires , Argentina,-37.973508, -57.5601005
5607,1,2023,2,Robo/Hurto Automotor,CATE 911,108,CON,Patricio Peralta Ramos,Lamadrid,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Patricio Peralta Ramos y Lamadrid , Buenos Aires , Argentina,-38.005856, -57.5423229
5617,1,2023,2,Robo/Hurto Automotor,CATE 911,284,CON,Thomas A Edison,Calabria,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Thomas A Edison y Calabria , Buenos Aires , Argentina,-38.056568, -57.5663443
5684,1,2023,2,Robo/Hurto Automotor,CATE 911,297,CON,Talcahuano,Benito Lynch,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Talcahuano y Benito Lynch , Buenos Aires , Argentina,-38.045428, -57.5897238
5793,1,2023,3,Robo/Hurto Automotor,CATE 911,804,CON,Patricio Peralta Ramos,Chacabuco,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Patricio Peralta Ramos y Chacabuco , Buenos Aires , Argentina,-37.989941, -57.5452102
5855,1,2023,3,Robo/Hurto Automotor,ORIGEN DIFERIDO,702,CON,Juan B Justo,Espana,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Juan B Justo y Espana , Buenos Aires , Argentina,-38.018900, -57.5711611
5881,1,2023,3,Robo/Hurto Automotor,CATE 911,661,CON,Falucho,Chaco,No Asiste,Mar del Plata,Buenos Aires,Argentina,Falucho y Chaco , Buenos Aires , Argentina,-37.987541, -57.5881438
5976,1,2023,3,Robo/Hurto Automotor,CATE 911,366,CON,Juan B Justo,Tucuman,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Juan B Justo y Tucuman , Buenos Aires , Argentina,-38.028354, -57.5586371
5981,1,2023,3,Robo/Hurto Automotor,CATE 911,551,CON,Alsina,Rawson,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Alsina y Rawson , Buenos Aires , Argentina,-38.013034, -57.5424318
5995,1,2023,3,Robo/Hurto Automotor,CATE 911,510,CON,italia,Beruti,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,italia y Beruti , Buenos Aires , Argentina,-37.97718, -57.55722
6006,1,2023,3,Robo/Hurto Automotor,CATE 911,571,CON,Avenida Colon,Corrientes,Se Realiza Seguimiento del Evento,Mar del Plata,Buenos Aires,Argentina,colon y Corrientes , Buenos Aires , Argentina,-38.009231, -57.5477932
6084,1,2023,3,Robo/Hurto Automotor,CATE 911,401,CON,De La Plaza,Inda,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,De La Plaza y Inda , Buenos Aires , Argentina,-38.018654, -57.6063838
6278,1,2023,3,Robo/Hurto Automotor,CATE 911,478,CON,Alberti,Catamarca,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Alberti y Catamarca , Buenos Aires , Argentina,-38.003634, -57.5588173
6319,1,2023,3,Robo/Hurto Automotor,CATE 911,390,CON,Jacinto Peralta Ramos,Guanahani,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Jacinto Peralta Ramos y Guanahani , Buenos Aires , Argentina,-38.027150, -57.5810893
6592,1,2023,3,Robo/Hurto Automotor,CATE 911,78,CON,Talcahuano,Azopardo,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Talcahuano y Azopardo , Buenos Aires , Argentina,-38.031178, -57.5757751
6714,1,2023,3,Robo/Hurto Automotor,CATE 911,435,CON,San Martin,Santiago Del Estero,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,San Martin y Santiago Del Estero , Buenos Aires , Argentina,-37.999956, -57.5459363
6743,1,2023,3,Robo/Hurto Automotor,CATE 911,262,CON,Felix U Camet,Strobel,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Felix U Camet y Strobel , Buenos Aires , Argentina,-37.981392, -57.5443845
6780,1,2023,3,Robo/Hurto Automotor,CATE 911,459,CON,Luis Dellepiane,Soler,Secuestro De Vehiculo,Mar del Plata,Buenos Aires,Argentina,Luis Dellepiane y Soler , Buenos Aires , Argentina,-38.033221, -57.5799064
6846,1,2023,3,Robo/Hurto Automotor,CATE 911,541,CON,Rivadavia,Chaco,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Rivadavia y Chaco , Buenos Aires , Argentina,-37.991072, -57.5656844
6856,1,2023,3,Robo/Hurto Automotor,CATE 911,649,CON,Antartida Argentina,Chuyantuya,Detencion,Mar del Plata,Buenos Aires,Argentina,Antartida Argentina y Chuyantuya , Buenos Aires , Argentina,-38.056516, -57.6109001
6957,1,2023,3,Robo/Hurto Automotor,CATE 911,667,CON,Patricio Peralta Ramos,Quintana,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Patricio Peralta Ramos y Quintana , Buenos Aires , Argentina,-38.028355, -57.5339843
6977,1,2023,3,Robo/Hurto Automotor,CATE 911,290,CON,De La Plaza,Alejandro Korn,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,De La Plaza y Alejandro Korn , Buenos Aires , Argentina,-38.047249, -57.5683127
6986,1,2023,3,Robo/Hurto Automotor,CATE 911,595,CON,Jujuy,Alvarado,No Asiste,Mar del Plata,Buenos Aires,Argentina,Jujuy y Alvarado , Buenos Aires , Argentina,-38.021721, -57.5796599
7007,1,2023,3,Robo/Hurto Automotor,CATE 911,57,CON,Pedro Luro,Hipolito Yrigoyen,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Hipolito Yrigoyen , Buenos Aires , Argentina,-37.997093, -57.5491867
7177,1,2023,3,Robo/Hurto Automotor,CATE 911,103,CON,Avenida Colon,Buenos Aires,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Buenos Aires , Buenos Aires , Argentina,-38.006448, -57.5441499
7199,1,2023,3,Robo/Hurto Automotor,CATE 911,700,CON,Independencia,Bolivar,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Independencia y Bolivar , Buenos Aires , Argentina,-38.000392, -57.5562156
7282,1,2023,3,Robo/Hurto Automotor,CATE 911,702,CON,Independencia,Juan B Justo,No Asiste,Mar del Plata,Buenos Aires,Argentina,Independencia y Juan B Justo , Buenos Aires , Argentina,-38.018900, -57.5711611
7373,1,2023,3,Robo/Hurto Automotor,CATE 911,88,CON,Dorrego,Rodriguez Pena,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Dorrego y Rodriguez Pena , Buenos Aires , Argentina,-38.006882, -57.5700073
7378,1,2023,3,Robo/Hurto Automotor,CATE 911,809,CON,Pedro Luro,Chile,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Chile , Buenos Aires , Argentina,-37.983806, -57.5754804
7399,1,2023,3,Robo/Hurto Automotor,CATE 911,401,CON,Inda,De La Plaza,No Asiste,Mar del Plata,Buenos Aires,Argentina,Inda y De La Plaza , Buenos Aires , Argentina,-38.018654, -57.6063838
7506,1,2023,3,Robo/Hurto Automotor,CATE 911,705,CON,Patricio Peralta Ramos,Tres de 02,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Patricio Peralta Ramos y Tres de 02 , Buenos Aires , Argentina,-38.000949, -57.5415961
7520,1,2023,3,Robo/Hurto Automotor,CATE 911,285,CON,Thomas A Edison,Soler,Asiste Unidad Sanitaria y Traslada,Mar del Plata,Buenos Aires,Argentina,Thomas A Edison y Soler , Buenos Aires , Argentina,-38.049688, -57.558046
7624,1,2023,3,Robo/Hurto Automotor,CATE 911,674,CON,Guerrico,Sicilia,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Guerrico y Sicilia , Buenos Aires , Argentina,-38.050607, -57.6039517
7697,1,2023,3,Robo/Hurto Automotor,CATE 911,67,CON,Independencia,Juan J Paso,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Independencia y Juan J Paso , Buenos Aires , Argentina,-38.01636, -57.56907
7729,1,2023,3,Robo/Hurto Automotor,CATE 911,60,CON,Pedro Luro,Del Libano,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Pedro Luro y Del Libano , Buenos Aires , Argentina,-37.978182, -57.5863716
7761,1,2023,3,Robo/Hurto Automotor,CATE 911,91,CON,Genova,Gonzalez Chaves,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Genova y Gonzalez Chaves , Buenos Aires , Argentina,-38.034049, -57.5928098
7823,1,2023,3,Robo/Hurto Automotor,CATE 911,571,CON,Alte Brown,Tucuman,No Asiste,Mar del Plata,Buenos Aires,Argentina,Alte Brown y Tucuman , Buenos Aires , Argentina,-38.009231, -57.5477932
7828,1,2023,3,Robo/Hurto Automotor,CATE 911,511,CON,Pasteur,Juan A Pena,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Pasteur y Juan A Pena , Buenos Aires , Argentina,-37.971641, -57.5527934
7905,1,2023,3,Robo/Hurto Automotor,CATE 911,537,CON,Mexico,Libertad,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Mexico y Libertad , Buenos Aires , Argentina,-37.978957, -57.5715179
