N CAMARA,DIRECCION,FECHA,DIA,HORA,PART,TOTAL
532,Luro y Leguizamon,10/05/2022,miercoles,07 a 08,bici,35
532,Luro y Leguizamon,10/05/2022,miercoles,07 a 08,colectivo,54
532,Luro y Leguizamon,10/05/2022,miercoles,07 a 08,camiones,84
56,Luro y Catamarca,10/05/2022,miercoles,07 a 08,auto,1052
56,Luro y Catamarca,10/05/2022,miercoles,07 a 08,moto,52
56,Luro y Catamarca,10/05/2022,miercoles,07 a 08,bici,66
56,Luro y Catamarca,10/05/2022,miercoles,07 a 08,colectivo,82
56,Luro y Catamarca,10/05/2022,miercoles,07 a 08,camiones,28
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,auto,1140
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,moto,68
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,bici,36
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,colectivo,48
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,camiones,56
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,auto,1080
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,moto,56
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,bici,42
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,colectivo,52
304,Luro y Carrillo,11/03/2022,jueves,07 a 08,camiones,86
304,Luro y Carrillo,10/03/2022,lunes,07 a 08,auto,1077
304,Luro y Carrillo,10/03/2022,lunes,07 a 08,moto,18
304,Luro y Carrillo,10/03/2022,lunes,07 a 08,bici,25
304,Luro y Carrillo,10/03/2022,lunes,07 a 08,colectivo,90
304,Luro y Carrillo,10/03/2022,lunes,07 a 08,camiones,90
304,Luro y Carrillo,02/08/2023,miercoles,07 a 08,auto,828
304,Luro y Carrillo,02/08/2023,miercoles,07 a 08,moto,28
304,Luro y Carrillo,02/08/2023,miercoles,07 a 08,bici,16
304,Luro y Carrillo,02/08/2023,miercoles,07 a 08,colectivo,26
304,Luro y Carrillo,02/08/2023,miercoles,07 a 08,camiones,49
276,Av. Fortunato de la Plaza y Vernet,12/07/2022,miercoles,07 a 08,auto,306
276,Av. Fortunato de la Plaza y Vernet,12/07/2022,miercoles,07 a 08,moto,30
276,Av. Fortunato de la Plaza y Vernet,12/07/2022,miercoles,07 a 08,bici,12
276,Av. Fortunato de la Plaza y Vernet,12/07/2022,miercoles,07 a 08,colectivo,18
276,Av. Fortunato de la Plaza y Vernet,12/07/2022,miercoles,07 a 08,camiones,0
585,H.Yrigoyen y Av. Colon,12/07/2022,miercoles,07 a 08,auto,1140
585,H.Yrigoyen y Av. Colon,12/07/2022,miercoles,07 a 08,moto,152
585,H.Yrigoyen y Av. Colon,12/07/2022,miercoles,07 a 08,bici,88
585,H.Yrigoyen y Av. Colon,12/07/2022,miercoles,07 a 08,colectivo,12
585,H.Yrigoyen y Av. Colon,12/07/2022,miercoles,07 a 08,camiones,36
547,General paz y Primera Junta,12/07/2022,miercoles,07 a 08,auto,48
547,General paz y Primera Junta,12/07/2022,miercoles,07 a 08,moto,0
547,General paz y Primera Junta,12/07/2022,miercoles,07 a 08,bici,0
547,General paz y Primera Junta,12/07/2022,miercoles,07 a 08,colectivo,6
547,General paz y Primera Junta,12/07/2022,miercoles,07 a 08,camiones,0
75,Edison y Vertiz,05/03/2023,miercoles,07 a 08,auto,398
75,Edison y Vertiz,05/03/2023,miercoles,07 a 08,moto,74
75,Edison y Vertiz,05/03/2023,miercoles,07 a 08,bici,29
75,Edison y Vertiz,05/03/2023,miercoles,07 a 08,colectivo,31
75,Edison y Vertiz,05/03/2023,miercoles,07 a 08,camiones,43
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,07 a 08,auto,1252
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,07 a 08,moto,122
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,07 a 08,bici,43
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,07 a 08,colectivo,20
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,07 a 08,camiones,12
284,Edison y Calabria,05/03/2023,miercoles,07 a 08,auto,1350
284,Edison y Calabria,05/03/2023,miercoles,07 a 08,moto,121
284,Edison y Calabria,05/03/2023,miercoles,07 a 08,bici,30
284,Edison y Calabria,05/03/2023,miercoles,07 a 08,colectivo,31
284,Edison y Calabria,05/03/2023,miercoles,07 a 08,camiones,13
33,Edison y 12 de Octubre ,11/02/2023,miercoles,07 a 08,auto,1813
33,Edison y 12 de Octubre ,11/02/2023,miercoles,07 a 08,moto,120
33,Edison y 12 de Octubre ,11/02/2023,miercoles,07 a 08,bici,27
33,Edison y 12 de Octubre ,11/02/2023,miercoles,07 a 08,colectivo,42
33,Edison y 12 de Octubre ,11/02/2023,miercoles,07 a 08,camiones,23
33,Edison y 12 de Octubre ,05/03/2022,miercoles,07 a 08,auto,1861
33,Edison y 12 de Octubre ,05/03/2022,miercoles,07 a 08,moto,107
33,Edison y 12 de Octubre ,05/03/2022,miercoles,07 a 08,bici,33
33,Edison y 12 de Octubre ,05/03/2022,miercoles,07 a 08,colectivo,30
33,Edison y 12 de Octubre ,05/03/2022,miercoles,07 a 08,camiones,21
226,Centenario y Soler,10/31/2022,lunes,07 a 08,auto,1584
226,Centenario y Soler,10/31/2022,lunes,07 a 08,moto,116
226,Centenario y Soler,10/31/2022,lunes,07 a 08,bici,32
226,Centenario y Soler,10/31/2022,lunes,07 a 08,colectivo,24
226,Centenario y Soler,10/31/2022,lunes,07 a 08,camiones,168
226,Centenario y Soler,02/08/2023,miercoles,07 a 08,auto,1582
226,Centenario y Soler,02/08/2023,miercoles,07 a 08,moto,69
226,Centenario y Soler,02/08/2023,miercoles,07 a 08,bici,12
226,Centenario y Soler,02/08/2023,miercoles,07 a 08,colectivo,25
226,Centenario y Soler,02/08/2023,miercoles,07 a 08,camiones,195
202,Independencia y Tres de Febrero,12/07/2022,miercoles,07 a 08,auto,1400
202,Independencia y Tres de Febrero,12/07/2022,miercoles,07 a 08,moto,120
202,Independencia y Tres de Febrero,12/07/2022,miercoles,07 a 08,bici,56
202,Independencia y Tres de Febrero,12/07/2022,miercoles,07 a 08,colectivo,28
202,Independencia y Tres de Febrero,12/07/2022,miercoles,07 a 08,camiones,16
58,luro e Italia,05/16/2022,lunes,07 a 08,auto,780
58,luro e Italia,05/16/2022,lunes,07 a 08,moto,76
58,luro e Italia,05/16/2022,lunes,07 a 08,bici,40
58,luro e Italia,05/16/2022,lunes,07 a 08,colectivo,60
58,luro e Italia,05/16/2022,lunes,07 a 08,camiones,16
476,Independencia y R. Pena,12/07/2022,miercoles,07 a 08,auto,1180
476,Independencia y R. Pena,12/07/2022,miercoles,07 a 08,moto,163
476,Independencia y R. Pena,12/07/2022,miercoles,07 a 08,bici,76
476,Independencia y R. Pena,12/07/2022,miercoles,07 a 08,colectivo,32
476,Independencia y R. Pena,12/07/2022,miercoles,07 a 08,camiones,32
581,Independencia y Belgrano,12/07/2022,miercoles,07 a 08,auto,1288
581,Independencia y Belgrano,12/07/2022,miercoles,07 a 08,moto,184
581,Independencia y Belgrano,12/07/2022,miercoles,07 a 08,bici,92
581,Independencia y Belgrano,12/07/2022,miercoles,07 a 08,colectivo,128
581,Independencia y Belgrano,12/07/2022,miercoles,07 a 08,camiones,40
585,H.Yrigoyen y Av. Colon ,05/15/2024,miercoles,07 a 08,auto,2513
585,H.Yrigoyen y Av. Colon ,05/15/2024,miercoles,07 a 08,moto,209
585,H.Yrigoyen y Av. Colon ,05/15/2024,miercoles,07 a 08,bici,94
585,H.Yrigoyen y Av. Colon ,05/15/2024,miercoles,07 a 08,colectivo,17
585,H.Yrigoyen y Av. Colon ,05/15/2024,miercoles,07 a 08,camiones,23
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,07 a 08,auto,2776
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,07 a 08,moto,176
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,07 a 08,bici,86
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,07 a 08,colectivo,30
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,07 a 08,camiones,20
367,Juan B.Justo y Guemes,11/02/2022,miercoles,08 a 09,auto,2620
367,Juan B.Justo y Guemes,11/02/2022,miercoles,08 a 09,moto,220
367,Juan B.Justo y Guemes,11/02/2022,miercoles,08 a 09,bici,64
367,Juan B.Justo y Guemes,11/02/2022,miercoles,08 a 09,colectivo,40
367,Juan B.Justo y Guemes,11/02/2022,miercoles,08 a 09,camiones,80
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,08 a 09,auto,1422
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,08 a 09,moto,81
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,08 a 09,bici,33
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,08 a 09,colectivo,15
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,08 a 09,camiones,96
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,08 a 09,auto,1644
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,08 a 09,moto,60
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,08 a 09,bici,54
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,08 a 09,colectivo,12
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,08 a 09,camiones,24
148,Mario Bravo y Galicia,11/02/2022,miercoles,08 a 09,auto,972
148,Mario Bravo y Galicia,11/02/2022,miercoles,08 a 09,moto,246
148,Mario Bravo y Galicia,11/02/2022,miercoles,08 a 09,bici,0
148,Mario Bravo y Galicia,11/02/2022,miercoles,08 a 09,colectivo,6
148,Mario Bravo y Galicia,11/02/2022,miercoles,08 a 09,camiones,42
702,Av. J.B.Justo y Av. Independencia,11/02/2022,miercoles,08 a 09,auto,5190
702,Av. J.B.Justo y Av. Independencia,11/02/2022,miercoles,08 a 09,moto,486
702,Av. J.B.Justo y Av. Independencia,11/02/2022,miercoles,08 a 09,bici,210
702,Av. J.B.Justo y Av. Independencia,11/02/2022,miercoles,08 a 09,colectivo,96
702,Av. J.B.Justo y Av. Independencia,11/02/2022,miercoles,08 a 09,camiones,126
251,F. U. Camet y Mugaburu,10/05/2022,miercoles,08 a 09,auto,1828
251,F. U. Camet y Mugaburu,10/05/2022,miercoles,08 a 09,moto,124
251,F. U. Camet y Mugaburu,10/05/2022,miercoles,08 a 09,bici,40
251,F. U. Camet y Mugaburu,10/05/2022,miercoles,08 a 09,colectivo,88
251,F. U. Camet y Mugaburu,10/05/2022,miercoles,08 a 09,camiones,20
33,Edison y 12 de Octubre ,05/03/2023,miercoles,08 a 09,auto,1335
33,Edison y 12 de Octubre ,05/03/2023,miercoles,08 a 09,moto,93
33,Edison y 12 de Octubre ,05/03/2023,miercoles,08 a 09,bici,20
33,Edison y 12 de Octubre ,05/03/2023,miercoles,08 a 09,colectivo,47
33,Edison y 12 de Octubre ,05/03/2023,miercoles,08 a 09,camiones,29
367,Juan B. Justo y Guemes,05/16/2022,lunes,08 a 09,auto,2620
367,Juan B. Justo y Guemes,05/16/2022,lunes,08 a 09,moto,220
367,Juan B. Justo y Guemes,05/16/2022,lunes,08 a 09,bici,64
367,Juan B. Justo y Guemes,05/16/2022,lunes,08 a 09,colectivo,40
367,Juan B. Justo y Guemes,05/16/2022,lunes,08 a 09,camiones,80
596,Independencia y Luro,11/02/2022,miercoles,08 a 09,auto,3178
596,Independencia y Luro,11/02/2022,miercoles,08 a 09,moto,272
596,Independencia y Luro,11/02/2022,miercoles,08 a 09,bici,150
596,Independencia y Luro,11/02/2022,miercoles,08 a 09,colectivo,254
596,Independencia y Luro,11/02/2022,miercoles,08 a 09,camiones,38
478,Independencia y Alberti,12/07/2022,miercoles,08 a 09,auto,3032
478,Independencia y Alberti,12/07/2022,miercoles,08 a 09,moto,324
478,Independencia y Alberti,12/07/2022,miercoles,08 a 09,bici,136
478,Independencia y Alberti,12/07/2022,miercoles,08 a 09,colectivo,32
478,Independencia y Alberti,12/07/2022,miercoles,08 a 09,camiones,12
585,H.Yrigoyen y Av. Colon ,05/15/2024,miercoles,08 a 09,bici,75
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,09 a 10,auto,1566
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,09 a 10,moto,72
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,09 a 10,bici,0
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,09 a 10,colectivo,0
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,09 a 10,camiones,12
448,Jara y Alberti,11/02/2022,miercoles,09 a 10,auto,1796
448,Jara y Alberti,11/02/2022,miercoles,09 a 10,moto,136
448,Jara y Alberti,11/02/2022,miercoles,09 a 10,bici,132
448,Jara y Alberti,11/02/2022,miercoles,09 a 10,colectivo,24
448,Jara y Alberti,11/02/2022,miercoles,09 a 10,camiones,56
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,10 a 11,auto,1524
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,10 a 11,moto,0
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,10 a 11,bici,0
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,10 a 11,colectivo,0
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,10 a 11,camiones,6
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,11 a 12,auto,1272
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,11 a 12,moto,6
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,11 a 12,bici,12
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,11 a 12,colectivo,6
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,11 a 12,camiones,0
33,Edison y 12 de Octubre ,05/03/2023,miercoles,11 a 12,auto,1546
33,Edison y 12 de Octubre ,05/03/2023,miercoles,11 a 12,moto,135
33,Edison y 12 de Octubre ,05/03/2023,miercoles,11 a 12,bici,27
33,Edison y 12 de Octubre ,05/03/2023,miercoles,11 a 12,colectivo,39
33,Edison y 12 de Octubre ,05/03/2023,miercoles,11 a 12,camiones,48
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,12 a 13,auto,1678
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,12 a 13,moto,129
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,12 a 13,bici,36
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,12 a 13,colectivo,17
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,12 a 13,camiones,29
367,Juan B.Justo y Guemes,11/01/2022,martes,12 a 13,auto,2655
367,Juan B.Justo y Guemes,11/01/2022,martes,12 a 13,moto,165
367,Juan B.Justo y Guemes,11/01/2022,martes,12 a 13,bici,45
367,Juan B.Justo y Guemes,11/01/2022,martes,12 a 13,colectivo,54
367,Juan B.Justo y Guemes,11/01/2022,martes,12 a 13,camiones,63
493,Ruta 11 y Toscana,11/02/2023,jueves,12 a 13,auto,694
493,Ruta 11 y Toscana,11/02/2023,jueves,12 a 13,moto,22
493,Ruta 11 y Toscana,11/02/2023,jueves,12 a 13,bici,16
493,Ruta 11 y Toscana,11/02/2023,jueves,12 a 13,colectivo,18
493,Ruta 11 y Toscana,11/02/2023,jueves,12 a 13,camiones,14
493,Ruta 11 y Toscana,01/04/2023,miercoles,12 a 13,auto,1314
493,Ruta 11 y Toscana,01/04/2023,miercoles,12 a 13,moto,51
493,Ruta 11 y Toscana,01/04/2023,miercoles,12 a 13,bici,6
493,Ruta 11 y Toscana,01/04/2023,miercoles,12 a 13,colectivo,15
493,Ruta 11 y Toscana,01/04/2023,miercoles,12 a 13,camiones,9
589,Ruta 11 y Scaglia,10/25/2022,martes,12 a 13,auto,1174
589,Ruta 11 y Scaglia,10/25/2022,martes,12 a 13,moto,58
589,Ruta 11 y Scaglia,10/25/2022,martes,12 a 13,bici,24
589,Ruta 11 y Scaglia,10/25/2022,martes,12 a 13,colectivo,28
589,Ruta 11 y Scaglia,10/25/2022,martes,12 a 13,camiones,72
589,Ruta 11 y Scaglia,12/21/2022,miercoles,12 a 13,auto,1237
589,Ruta 11 y Scaglia,12/21/2022,miercoles,12 a 13,moto,64
589,Ruta 11 y Scaglia,12/21/2022,miercoles,12 a 13,bici,8
589,Ruta 11 y Scaglia,12/21/2022,miercoles,12 a 13,colectivo,25
589,Ruta 11 y Scaglia,12/21/2022,miercoles,12 a 13,camiones,59
589,Ruta 11 y Scaglia,02/08/2023,miercoles,12 a 13,auto,1703
589,Ruta 11 y Scaglia,02/08/2023,miercoles,12 a 13,moto,65
589,Ruta 11 y Scaglia,02/08/2023,miercoles,12 a 13,bici,21
589,Ruta 11 y Scaglia,02/08/2023,miercoles,12 a 13,colectivo,40
589,Ruta 11 y Scaglia,02/08/2023,miercoles,12 a 13,camiones,33
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,12 a 13,auto,1353
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,12 a 13,moto,45
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,12 a 13,bici,9
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,12 a 13,colectivo,27
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,12 a 13,camiones,111
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,12 a 13,auto,1158
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,12 a 13,moto,30
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,12 a 13,bici,0
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,12 a 13,colectivo,6
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,12 a 13,camiones,0
304,Luro y Carrillo,02/08/2023,miercoles,12 a 13,auto,1047
304,Luro y Carrillo,02/08/2023,miercoles,12 a 13,moto,44
304,Luro y Carrillo,02/08/2023,miercoles,12 a 13,bici,40
304,Luro y Carrillo,02/08/2023,miercoles,12 a 13,colectivo,30
304,Luro y Carrillo,02/08/2023,miercoles,12 a 13,camiones,77
75,Edison y Vertiz,05/03/2023,miercoles,12 a 13,auto,463
75,Edison y Vertiz,05/03/2023,miercoles,12 a 13,moto,60
75,Edison y Vertiz,05/03/2023,miercoles,12 a 13,bici,15
75,Edison y Vertiz,05/03/2023,miercoles,12 a 13,colectivo,31
75,Edison y Vertiz,05/03/2023,miercoles,12 a 13,camiones,50
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,12 a 13,auto,1184
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,12 a 13,moto,84
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,12 a 13,bici,36
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,12 a 13,colectivo,16
279,Edison y Fortunato e la Plaza ,05/03/2023,miercoles,12 a 13,camiones,48
33,Edison y 12 de Octubre ,05/03/2023,miercoles,12 a 13,auto,1976
33,Edison y 12 de Octubre ,05/03/2023,miercoles,12 a 13,moto,187
33,Edison y 12 de Octubre ,05/03/2023,miercoles,12 a 13,bici,22
33,Edison y 12 de Octubre ,05/03/2023,miercoles,12 a 13,colectivo,39
33,Edison y 12 de Octubre ,05/03/2023,miercoles,12 a 13,camiones,32
226,Centenario y Soler,02/08/2023,miercoles,12 a 13,auto,1726
226,Centenario y Soler,02/08/2023,miercoles,12 a 13,moto,98
226,Centenario y Soler,02/08/2023,miercoles,12 a 13,bici,50
226,Centenario y Soler,02/08/2023,miercoles,12 a 13,colectivo,22
226,Centenario y Soler,02/08/2023,miercoles,12 a 13,camiones,228
226,Centenario y Soler,11/02/2022,miercoles,12 a 13,auto,1608
226,Centenario y Soler,11/02/2022,miercoles,12 a 13,moto,78
226,Centenario y Soler,11/02/2022,miercoles,12 a 13,bici,4
226,Centenario y Soler,11/02/2022,miercoles,12 a 13,colectivo,18
226,Centenario y Soler,11/02/2022,miercoles,12 a 13,camiones,280
585,H.Yrigoyen y Av. Colon ,04/15/2024,miercoles,12 a 13,bici,53
58,Luro e Italia,12/07/2022,miercoles,13 a 14,auto,1632
58,Luro e Italia,12/07/2022,miercoles,13 a 14,moto,116
58,Luro e Italia,12/07/2022,miercoles,13 a 14,bici,48
58,Luro e Italia,12/07/2022,miercoles,13 a 14,colectivo,52
58,Luro e Italia,12/07/2022,miercoles,13 a 14,camiones,48
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,13 a 14,auto,786
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,13 a 14,moto,30
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,13 a 14,bici,0
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,13 a 14,colectivo,6
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,13 a 14,camiones,0
329,Luro y Portugal,10/05/2022,miercoles,13 a 14,auto,1688
329,Luro y Portugal,10/05/2022,miercoles,13 a 14,moto,144
329,Luro y Portugal,10/05/2022,miercoles,13 a 14,bici,80
