lat,lng,nombre,causa,participantes,fecha,descripcion
-31.394,-64.2145,Calle 2 2150,DESCOMPENSAN,B/A,11/02/2024,Siniestro vial
-31.3909,-64.1874,Vélez Sársfield y Caseros,VS,PATRULLA,04/02/2024,Siniestro vial
-31.3959,-64.1782,Mendoza 1850,PERSECUCIÓN,B/M,10/18/2024,Siniestro vial
-31.3922,-64.2039,Av. Hipólito Yrigoyen y La Rioja,AV,CTA,09/14/2024,Vuelco de vehículo
-31.4294,-64.1416,Av. Colón y Entre Ríos,EV,CTA/A/B,06/08/2024,Accidente por exceso de velocidad
-31.4296,-64.169,Av. Argentina y Corrientes,?,PATRULLA/B/BOMBEROS,10/11/2024,Siniestro vial
-31.4161,-64.1736,Av. Colón y Entre Ríos,PC,M/CTA,06/20/2024,Conductor cansado
-31.3962,-64.1481,9 de Julio 100,PI,COL/POLICIA/PERRO,12/20/2024,Siniestro vial
-31.4343,-64.2055,Duarte Quirós 300,PI,CAM/PERRO,09/07/2024,Siniestro vial
-31.4214,-64.2196,Bv. Martín Rodríguez 1200,AV,BOMBEROS,07/06/2024,Choque en intersección
-31.4251,-64.1774,Neuquén 2050,A,COL/MONOPATIN,10/01/2024,Atropello de peatón
-31.4389,-64.1921,Av. Argentina y Corrientes,MI,PERRO/PATRULLA/AMB,06/22/2024,Mala iluminación de calle
-31.4103,-64.1602,Rivadavia 1950,P,PERRO,05/05/2024,Peatón imprudente cruzando
-31.4364,-64.1627,Belgrano y Junín,P,PERRO/AMB/CABALLO,05/13/2024,Cruce indebido de peatón
-31.4325,-64.1723,Córdoba 1800,FV,CAM/CABALLO/BOMBEROS,06/15/2024,Falta de visibilidad por polvareda
-31.4062,-64.197,Bv. Martín Rodríguez 300,PC,MONOPATIN,12/05/2024,Conductor cansado
-31.4239,-64.2153,Calle 2 2050,A,CTA,06/24/2024,Atropello con lesiones
-31.4155,-64.2176,Calle 3 2300,A,PERRO/CABALLO,05/08/2024,Atropello sin respeto de semáforo
-31.3989,-64.1646,Belgrano y Junín,PC,AMB/CAM,09/25/2024,Poca concentración del conductor
-31.4379,-64.2053,Calle 3 1800,IC,P/CAM/B,04/25/2024,Siniestro vial
-31.4356,-64.2113,Av. Colón y Entre Ríos,IC,PERRO/AMB,07/24/2024,Siniestro vial
-31.4399,-64.1765,Av. Sabattini 850,PI,CTA,08/15/2024,Siniestro vial
-31.3963,-64.1982,La Rioja 1550,D,AMB/CABALLO,05/11/2024,Siniestro vial
-31.4301,-64.1585,Santa Fe 1900,IC,B,11/18/2024,Siniestro vial
-31.4288,-64.1758,Vélez Sársfield y Caseros,DESCOMPENSAN,MONOPATIN/P/COL,12/10/2024,Siniestro vial
-31.4062,-64.1702,Belgrano y Junín,VS,MONOPATIN/M/B,05/12/2024,Siniestro vial
-31.3897,-64.1734,Vélez Sársfield 100,?,A,10/18/2024,Siniestro vial
-31.4196,-64.1962,Calle 3 1650,IC,A/PATRULLA,12/08/2024,Siniestro vial
-31.4151,-64.1651,Rivadavia y Duarte Quirós,D,MONOPATIN/CAM/AMB,06/25/2024,Siniestro vial
-31.43,-64.1629,San Juan y Ituzaingó,EV,CTA/BOMBEROS/A,04/12/2024,Choque a alta velocidad
-31.3904,-64.153,Caseros 1950,DESCOMPENSAN,CTA/B,05/30/2024,Siniestro vial
-31.3927,-64.1763,Misiones 700,?,B,05/05/2024,Siniestro vial
-31.4208,-64.1778,Calle 3 900,NR,POLICIA/PERRO/CTA,05/28/2024,Siniestro vial
-31.4083,-64.2176,27 de Abril 800,FV,AMB,11/14/2024,Falta de visibilidad por polvareda
-31.3919,-64.1468,Av. Colón y Entre Ríos,IC,MONOPATIN,10/09/2024,Siniestro vial
-31.4095,-64.1746,Río Negro 400,?,CTA/B,08/14/2024,Siniestro vial
-31.386,-64.1561,Av. Maipú 2150,?,CABALLO,06/13/2024,Siniestro vial
-31.4066,-64.2021,Condarco 1700,DESCOMPENSAN,M/AMB,10/30/2024,Siniestro vial
-31.4176,-64.1585,Rivadavia y Duarte Quirós,DESCOMPENSAN,BOMBEROS/CAM/PATRULLA,09/09/2024,Siniestro vial
-31.4226,-64.2084,Pinto 700,P,PATRULLA,06/06/2024,Peatón imprudente cruzando
-31.401,-64.1646,Av. Leandro N. Alem 2200,DESCOMPENSAN,A/B,09/21/2024,Siniestro vial
-31.4381,-64.2014,Av. Colón y Entre Ríos,VS,PERRO,04/28/2024,Siniestro vial
-31.4127,-64.1402,9 de Julio 1650,IC,PERRO/COL,08/20/2024,Siniestro vial
-31.4206,-64.1746,Av. Leandro N. Alem 1150,G,BOMBEROS/CTA/CAM,12/10/2024,Giro en zona prohibida
-31.3888,-64.1643,Rivadavia 1350,FV,CTA/B/M,04/27/2024,Falta de visibilidad por lluvia
-31.3999,-64.1895,Duarte Quirós 100,PC,COL/CAM,06/18/2024,Conductor distraído
-31.3966,-64.2056,San Juan y Ituzaingó,PC,COL/PERRO,06/04/2024,Conductor distraído
-31.4108,-64.2055,Calle 5 1750,PI,P,07/13/2024,Siniestro vial
-31.3894,-64.1502,Av. Leandro N. Alem y Belgrano,P,MONOPATIN/A/CTA,07/28/2024,Peatón distraído
-31.3957,-64.1521,Mitre 1900,AV,P/CTA,11/27/2024,Choque lateral
-31.4032,-64.192,La Rioja 350,PC,PERRO/MONOPATIN,08/27/2024,Conductor cansado
-31.4152,-64.1648,9 de Julio 1600,NR,P,09/18/2024,Siniestro vial
-31.3876,-64.1778,Pueyrredón y San Luis,PI,COL/CAM/AMB,12/01/2024,Siniestro vial
-31.4172,-64.1596,9 de Julio y Marcelo T. de Alvear,EV,CAM,11/18/2024,Choque a alta velocidad
-31.39,-64.1518,9 de Julio y Marcelo T. de Alvear,AV,P,08/01/2024,Choque lateral
-31.4048,-64.2115,Entre Ríos 200,D,BOMBEROS/AMB/PATRULLA,10/20/2024,Siniestro vial
-31.4339,-64.1491,Tucumán 1100,PI,CTA/A/COL,06/18/2024,Siniestro vial
-31.3904,-64.1528,Sarmiento 1600,DESCOMPENSAN,CAM,04/11/2024,Siniestro vial
-31.4059,-64.1486,Río Negro 2150,MI,A/CABALLO,11/02/2024,Mala iluminación de calle
-31.3912,-64.1666,Tucumán 300,PERSECUCIÓN,AMB,08/25/2024,Siniestro vial
-31.424,-64.1627,San Juan y Ituzaingó,MI,BOMBEROS,06/12/2024,Falta de iluminación nocturna
-31.4282,-64.2137,Chubut 900,PERSECUCIÓN,PATRULLA/POLICIA/MONOPATIN,12/09/2024,Siniestro vial
-31.4393,-64.2181,Duarte Quirós 750,EV,PERRO,09/16/2024,Accidente por exceso de velocidad
-31.4038,-64.15,San Luis 1550,AV,B,12/25/2024,Choque en intersección
-31.4302,-64.1671,Rivadavia y Duarte Quirós,IC,CAM/PERRO/CABALLO,07/04/2024,Siniestro vial
-31.4281,-64.1369,Av. Colón 1400,NSD,PATRULLA/POLICIA,12/11/2024,No respeta paso de peatones
-31.4378,-64.1756,Av. Recorridas 250,DF,MONOPATIN/PATRULLA/CABALLO,07/05/2024,Siniestro vial
-31.3987,-64.2086,Chubut 1600,VS,CABALLO,12/15/2024,Siniestro vial
-31.4251,-64.2084,Pueyrredón y San Luis,D,P/POLICIA,05/22/2024,Siniestro vial
-31.4161,-64.1878,Av. General Paz 1250,MR,P,09/21/2024,Siniestro vial
-31.4264,-64.141,Marcelo T. de Alvear 2050,NSD,CTA/B/M,04/30/2024,No respeta paso de peatones
-31.4212,-64.1679,Belgrano 1100,?,CAM/MONOPATIN/M,05/18/2024,Siniestro vial
-31.3859,-64.1535,Vélez Sársfield y Caseros,NR,MONOPATIN/PATRULLA,05/29/2024,Siniestro vial
-31.4348,-64.1495,9 de Julio 1050,?,BOMBEROS/CAM,08/10/2024,Siniestro vial
-31.4256,-64.1398,Av. Hipólito Yrigoyen 150,NSD,CTA,04/23/2024,No se detiene en ALTO
-31.4207,-64.2123,Belgrano y Junín,PI,PERRO,04/06/2024,Siniestro vial
-31.4337,-64.217,Av. Argentina y Corrientes,DESCOMPENSAN,M/BOMBEROS/PATRULLA,10/09/2024,Siniestro vial
-31.4294,-64.1586,Pueyrredón 200,IC,CABALLO/CAM/M,06/20/2024,Siniestro vial
-31.4088,-64.1354,Av. Sabattini 1850,FV,COL/POLICIA/BOMBEROS,07/06/2024,Falta de visibilidad por polvareda
-31.4135,-64.1938,Bv. Martín Rodríguez 200,PC,P,09/02/2024,Poca concentración del conductor
-31.4353,-64.1965,Av. Leandro N. Alem y Belgrano,G,AMB,04/28/2024,Giro indebido
-31.439,-64.1921,9 de Julio y Marcelo T. de Alvear,D,CAM/M/B,10/23/2024,Siniestro vial
-31.4211,-64.1488,Av. Sabattini 2050,EV,CABALLO/M,08/05/2024,Choque a alta velocidad
-31.3927,-64.1874,Av. General Paz 2100,MR,M/CAM,11/12/2024,Siniestro vial
-31.3886,-64.2062,Calle 4 1050,NR,B/AMB/CAM,08/05/2024,Siniestro vial
-31.4234,-64.1702,Rivadavia y Duarte Quirós,AV,AMB,11/24/2024,Choque lateral
-31.4121,-64.135,Belgrano y Junín,DESCOMPENSAN,MONOPATIN/AMB/PERRO,05/03/2024,Siniestro vial
-31.4218,-64.1707,Rivadavia y Duarte Quirós,PERSECUCIÓN,POLICIA,11/25/2024,Siniestro vial
-31.4267,-64.1996,Chubut 1850,AV,CABALLO,08/21/2024,Vuelco de vehículo
-31.4113,-64.1498,Pueyrredón 1300,DESCOMPENSAN,PERRO/P,11/13/2024,Siniestro vial
-31.3926,-64.1371,Av. Recorridas 1250,PC,P,11/16/2024,Conductor distraído
-31.4268,-64.2006,Av. Argentina 2300,PERSECUCIÓN,PATRULLA/A/CABALLO,10/17/2024,Siniestro vial
-31.4048,-64.1632,Av. Hipólito Yrigoyen 1200,DF,CABALLO/POLICIA/M,06/28/2024,Siniestro vial
-31.4261,-64.1398,Av. Sabattini 750,G,BOMBEROS,09/20/2024,Giro en zona prohibida
-31.3907,-64.1413,27 de Abril 350,PI,P/M,06/29/2024,Siniestro vial
-31.3927,-64.1526,Belgrano 1450,D,A,07/26/2024,Siniestro vial
-31.3873,-64.1949,Presidente Roca 1100,DESCOMPENSAN,COL,08/23/2024,Siniestro vial
-31.4297,-64.1766,Duarte Quirós 1450,NR,CABALLO/COL,12/27/2024,Siniestro vial
-31.4079,-64.158,Av. Argentina y Corrientes,NR,A,04/30/2024,Siniestro vial
-31.4212,-64.2007,Av. Argentina y Corrientes,PERSECUCIÓN,BOMBEROS,08/30/2024,Siniestro vial
-31.4291,-64.2093,Av. Hipólito Yrigoyen y La Rioja,DF,CAM,09/26/2024,Siniestro vial
-31.3867,-64.1695,Presidente Roca 750,MI,PERRO,06/21/2024,Mala iluminación de calle
-31.4187,-64.1385,Av. General Paz 2200,DESCOMPENSAN,COL/CAM,04/02/2024,Siniestro vial
-31.4293,-64.1598,Vélez Sársfield y Caseros,AV,MONOPATIN,08/27/2024,Choque en intersección
-31.4336,-64.2069,Av. Argentina y Corrientes,AV,CABALLO/CAM/P,08/02/2024,Choque lateral
-31.3993,-64.1642,Av. Maipú 2100,EV,M,07/22/2024,Accidente por exceso de velocidad
-31.4245,-64.1657,Av. Hipólito Yrigoyen y La Rioja,PC,CABALLO/CAM,04/09/2024,Conductor cansado
-31.4276,-64.1351,Pueyrredón y San Luis,A,PATRULLA/BOMBEROS/PERRO,09/24/2024,Atropello sin respeto de semáforo
-31.4159,-64.1395,Av. Leandro N. Alem y Belgrano,NR,B,06/24/2024,Siniestro vial
-31.4126,-64.2161,Calle 5 500,MI,CAM,11/24/2024,Mala iluminación del vehículo
-31.3961,-64.1928,Neuquén 1600,PC,AMB,06/27/2024,Conductor cansado
-31.412,-64.1483,Calle 3 2050,MR,COL/A/MONOPATIN,06/27/2024,Siniestro vial
-31.4224,-64.1904,Duarte Quirós 250,PC,CABALLO,04/28/2024,Conductor distraído
-31.4133,-64.2169,Avenida Donato Álvarez 200,P,A/MONOPATIN,07/21/2024,Peatón distraído
-31.4354,-64.1889,Av. Argentina y Corrientes,?,P,05/31/2024,Siniestro vial
-31.407,-64.1974,Av. Hipólito Yrigoyen y La Rioja,D,PATRULLA/PERRO/P,04/14/2024,Siniestro vial
-31.4125,-64.1591,Av. Hipólito Yrigoyen y La Rioja,AV,CAM/POLICIA/M,10/13/2024,Vuelco de vehículo
-31.4359,-64.205,Marcelo T. de Alvear 1650,DESCOMPENSAN,MONOPATIN,12/22/2024,Siniestro vial
-31.4095,-64.2092,Junín 600,PC,CTA/M,06/09/2024,Conductor cansado
-31.4288,-64.1575,Ituzaingó 1550,G,BOMBEROS,12/20/2024,Giro indebido
-31.3936,-64.1559,Neuquén 1550,G,CAM,08/04/2024,Giro sin señalizar
-31.4012,-64.1719,Av. Argentina y Corrientes,NSD,B/CAM/M,11/11/2024,No se detiene en ALTO
-31.3959,-64.183,Caseros 700,PC,POLICIA,04/10/2024,Poca concentración del conductor
-31.3949,-64.2059,Av. Argentina y Corrientes,MI,MONOPATIN/P,11/06/2024,Mala iluminación del vehículo
-31.4338,-64.1983,Rivadavia y Duarte Quirós,FV,CTA/P/COL,05/07/2024,Falta de visibilidad por lluvia
-31.4334,-64.143,Calle 5 1100,FV,PERRO/M,10/29/2024,Falta de visibilidad por lluvia
-31.3933,-64.1744,Calle 5 300,PC,CABALLO/CTA/MONOPATIN,04/28/2024,Conductor distraído
-31.4343,-64.1765,Av. Hipólito Yrigoyen y La Rioja,MR,CTA,08/26/2024,Siniestro vial
-31.4093,-64.2039,San Luis 750,PERSECUCIÓN,CAM,12/21/2024,Siniestro vial
-31.4292,-64.205,Av. General Paz 150,PC,M/CABALLO/COL,11/18/2024,Poca concentración del conductor
-31.4256,-64.2189,Entre Ríos 1300,AV,BOMBEROS/B/PERRO,11/21/2024,Choque frontal entre dos vehículos
-31.4146,-64.1531,Calle 3 1600,NR,COL/B,09/09/2024,Siniestro vial
-31.3962,-64.2147,Pueyrredón y San Luis,EV,B/A/POLICIA,10/01/2024,Choque a alta velocidad
-31.4297,-64.1513,Paso de los Andes 350,NSD,BOMBEROS/B,07/19/2024,No se detiene en ALTO
-31.389,-64.1881,Av. Recorridas 700,PERSECUCIÓN,PERRO/A,05/20/2024,Siniestro vial
-31.4277,-64.1903,Calle 2 2350,P,POLICIA/BOMBEROS/M,09/03/2024,Cruce indebido de peatón
-31.3907,-64.1736,Avenida Donato Álvarez 150,D,A/BOMBEROS/PATRULLA,06/16/2024,Siniestro vial
-31.3971,-64.1846,Av. Colón 2250,FV,CTA,06/13/2024,Falta de visibilidad por lluvia
-31.4066,-64.192,Mitre 1500,NSD,M,12/27/2024,No se detiene en ALTO
-31.4093,-64.2001,Av. Leandro N. Alem y Belgrano,PERSECUCIÓN,CABALLO/CAM/PERRO,09/03/2024,Siniestro vial
-31.3881,-64.1679,Av. Hipólito Yrigoyen 2150,DESCOMPENSAN,MONOPATIN/CTA/PATRULLA,08/10/2024,Siniestro vial
-31.3979,-64.1461,Ituzaingó 200,FV,CTA/AMB,08/19/2024,Falta de visibilidad por polvareda
-31.4099,-64.1509,Av. General Paz 950,G,BOMBEROS/CAM/MONOPATIN,08/20/2024,Giro en zona prohibida
-31.3989,-64.217,Av. Leandro N. Alem y Belgrano,NSD,CABALLO,11/23/2024,No respeta paso de peatones
-31.404,-64.1427,Santa Cruz 200,IC,AMB,11/17/2024,Siniestro vial
-31.4285,-64.1566,Fray Luis Beltrán 400,NSD,MONOPATIN/P,04/16/2024,No se detiene en ALTO
-31.4144,-64.2042,San Juan y Ituzaingó,VS,PATRULLA/CAM,11/03/2024,Siniestro vial
-31.4295,-64.1566,Av. Colón y Entre Ríos,IC,BOMBEROS/POLICIA/A,07/07/2024,Siniestro vial
-31.4024,-64.1417,Mendoza 2000,FV,BOMBEROS/MONOPATIN,05/01/2024,Falta de visibilidad por polvareda
-31.3956,-64.153,Avenida Poeta Lugones 1350,A,POLICIA/M/CTA,10/05/2024,Atropello con lesiones
-31.4198,-64.1819,Rivadavia 2100,MI,CABALLO,07/14/2024,Mala iluminación del vehículo
-31.4105,-64.1415,27 de Abril 1600,MR,B,04/07/2024,Siniestro vial
-31.42,-64.1355,Av. Argentina 1500,MI,B/MONOPATIN/M,06/02/2024,Mala iluminación de calle
-31.4106,-64.1844,Entre Ríos 200,PI,AMB,08/14/2024,Siniestro vial
-31.3852,-64.199,Mendoza 1850,MR,CABALLO/COL,09/16/2024,Siniestro vial
-31.4006,-64.1749,Avenida Donato Álvarez 1400,AV,CAM/POLICIA,09/14/2024,Choque en intersección
-31.4009,-64.2095,Av. Leandro N. Alem y Belgrano,VS,A,06/26/2024,Siniestro vial
-31.4223,-64.1481,San Juan y Ituzaingó,IC,A/PATRULLA/CAM,07/26/2024,Siniestro vial
-31.4018,-64.1609,Junín 2450,?,M/PATRULLA/COL,04/12/2024,Siniestro vial
-31.4094,-64.1879,Pinto 600,MR,PATRULLA,10/04/2024,Siniestro vial
-31.3864,-64.185,Belgrano y Junín,G,CABALLO/P/M,11/24/2024,Giro en zona prohibida
-31.4151,-64.1708,Rivadavia y Duarte Quirós,IC,COL,10/28/2024,Siniestro vial
-31.387,-64.1646,Neuquén 100,EV,PERRO/POLICIA,06/25/2024,Accidente por exceso de velocidad
-31.3912,-64.1808,Rivadavia y Duarte Quirós,VS,PERRO/B,10/31/2024,Siniestro vial
-31.4098,-64.1712,Pueyrredón y San Luis,MR,AMB/BOMBEROS/COL,06/03/2024,Siniestro vial
-31.4083,-64.1921,Paso de los Andes 1850,PI,CABALLO,06/11/2024,Siniestro vial
-31.4385,-64.1726,San Luis 750,VS,P,10/05/2024,Siniestro vial
-31.4206,-64.2068,Caseros 700,NSD,CAM/A,06/02/2024,No se detiene en ALTO
-31.4112,-64.1666,9 de Julio 2150,VS,A/MONOPATIN,04/03/2024,Siniestro vial
