lat,lng,fecha,resultado,observaciones
-38.014331,-57.5420614,2023-01-01,Asiste Policia y Libera,Garay
-38.003964,-57.5846452,2023-01-01,Asiste Policia y Libera,Matheu
-37.992875,-57.5643311,2023-01-01,Asiste Policia y Libera,Moreno
-38.009959,-57.5639469,2023-01-01,Asiste Policia y Libera,Primera Junta
-38.024548,-57.5288615,2023-01-01,Hallazgo Automotor,Aristobulo Del Valle
-38.024153,-57.5989053,2023-01-01,Asiste Policia y Libera,Brumana
-37.99916,-57.5424627,2023-01-01,Asiste Policia y Libera,Santa Fe
-38.02293,-57.5658417,2023-01-01,Asiste Policia y Libera,Santiago Del Estero
-38.02715,-57.5810893,2023-01-01,Asiste Policia y Libera,Tripulacion Del Fournier
-38.008686,-57.5332108,2023-01-01,Asiste Policia y Libera,Patricio Peralta Ramos
-38.018654,-57.6063838,2023-01-01,Hallazgo Automotor,Polonia
-38.060584,-57.5712209,2023-01-01,Secuestro De Vehiculo,Thomas A Edison
-38.063469,-57.5467061,2023-01-01,Asiste Policia y Libera,Puan
-37.953402,-57.577638,2023-01-01,Asiste Policia y Libera,Constitucion
-38.003225,-57.5684679,2023-01-01,Asiste Policia y Libera,Dorrego
-37.991077,-57.6081559,2023-01-01,Asiste Policia y Libera,Arturo Alio
-37.998955,-57.5479019,2023-01-01,Asiste Policia y Libera,San Luis
-37.986889,-57.5962509,2023-01-01,Persecucion Y Perdida,Salta
-38.012245,-57.5572385,2023-01-01,Asiste Policia y Libera,Cordoba
-38.006448,-57.5441499,2023-01-01,Asiste Policia y Libera,Avenida Colon
-37.999956,-57.5459363,2023-01-01,Persecucion Y Detencion,Santiago Del Estero
-38.024548,-57.5288615,2023-01-01,Asiste Policia y Libera,Aristobulo Del Valle
-38.027851,-57.5701584,2023-01-01,Asiste Unidad Sanitaria y Traslada,Irala
-38.021721,-57.5796599,2023-01-01,No Asiste,Florencio Sanchez
-38.016046,-57.5518769,2023-01-01,Asiste Policia y Libera,Rodriguez Pena
-38.034049,-57.5928098,2023-01-01,Hallazgo Automotor,Carasa
-38.012245,-57.5572385,2023-01-01,Asiste Policia y Libera,San Lorenzo
-38.006448,-57.5441499,2023-01-01,Asiste Policia y Libera,Falucho
-37.988587,-57.6061479,2023-01-01,Asiste Policia y Libera,San Lorenzo
-37.990344,-57.5693109,2023-01-01,Asiste Policia y Libera,Italia
-37.988587,-57.6061479,2023-01-01,Se Realiza Seguimiento del Evento,Estado De Israel
-38.058503,-57.5884982,2023-01-01,Hallazgo Automotor,calle 73
-37.97243,-57.62701,2023-01-01,Asiste Bomberos,Castelli
-38.049688,-57.558046,2023-01-01,Asiste Policia y Libera,Posadas
-37.997846,-57.6062347,2023-01-01,Asiste Policia y Libera,Fernandez
-38.003964,-57.5846452,2023-01-01,Hallazgo Automotor,Matheu
-37.997093,-57.5491867,2023-01-01,Asiste Policia y Libera,Pedro Luro
-38.020857,-57.6239556,2023-01-01,Hallazgo Automotor,Manrique
-38.052473,-57.5613839,2023-01-01,Asiste Policia y Libera,Napoles
-37.9926,-57.55569,2023-01-01,No Asiste,Salta
-38.126321,-57.6021868,2023-01-01,Asiste Policia y Libera,Calle 515
-37.973508,-57.5601005,2023-01-01,Asiste Policia y Libera,Santa Cruz
-38.005856,-57.5423229,2023-01-01,Asiste Policia y Libera,Lamadrid
-38.056568,-57.5663443,2023-01-01,Asiste Policia y Libera,Calabria
-38.045428,-57.5897238,2023-01-01,Asiste Policia y Libera,Benito Lynch
-37.989941,-57.5452102,2023-01-01,Asiste Policia y Libera,Chacabuco
-38.0189,-57.5711611,2023-01-01,Asiste Policia y Libera,Espana
-37.987541,-57.5881438,2023-01-01,No Asiste,Chaco
-38.028354,-57.5586371,2023-01-01,Asiste Policia y Libera,Tucuman
-38.013034,-57.5424318,2023-01-01,Asiste Policia y Libera,Rawson
-37.97718,-57.55722,2023-01-01,Hallazgo Automotor,Beruti
-38.009231,-57.5477932,2023-01-01,Se Realiza Seguimiento del Evento,Corrientes
-38.018654,-57.6063838,2023-01-01,Asiste Policia y Libera,Inda
-38.003634,-57.5588173,2023-01-01,Asiste Policia y Libera,Catamarca
-38.02715,-57.5810893,2023-01-01,Asiste Policia y Libera,Guanahani
-38.031178,-57.5757751,2023-01-01,Asiste Policia y Libera,Azopardo
-37.999956,-57.5459363,2023-01-01,Asiste Policia y Libera,Santiago Del Estero
-37.981392,-57.5443845,2023-01-01,Asiste Policia y Libera,Strobel
-38.033221,-57.5799064,2023-01-01,Secuestro De Vehiculo,Soler
-37.991072,-57.5656844,2023-01-01,Hallazgo Automotor,Chaco
-38.056516,-57.6109001,2023-01-01,Detencion,Chuyantuya
-38.028355,-57.5339843,2023-01-01,Asiste Policia y Libera,Quintana
-38.047249,-57.5683127,2023-01-01,Asiste Policia y Libera,Alejandro Korn
-38.021721,-57.5796599,2023-01-01,No Asiste,Alvarado
-37.997093,-57.5491867,2023-01-01,Asiste Policia y Libera,Hipolito Yrigoyen
-38.006448,-57.5441499,2023-01-01,Asiste Policia y Libera,Buenos Aires
-38.000392,-57.5562156,2023-01-01,Asiste Policia y Libera,Bolivar
-38.0189,-57.5711611,2023-01-01,No Asiste,Juan B Justo
-38.006882,-57.5700073,2023-01-01,Asiste Policia y Libera,Rodriguez Pena
-37.983806,-57.5754804,2023-01-01,Hallazgo Automotor,Chile
-38.018654,-57.6063838,2023-01-01,No Asiste,De La Plaza
-38.000949,-57.5415961,2023-01-01,Asiste Policia y Libera,Tres de 02
-38.049688,-57.558046,2023-01-01,Asiste Unidad Sanitaria y Traslada,Soler
-38.050607,-57.6039517,2023-01-01,Asiste Policia y Libera,Sicilia
-38.01636,-57.56907,2023-01-01,Asiste Policia y Libera,Juan J Paso
-37.978182,-57.5863716,2023-01-01,Asiste Policia y Libera,Del Libano
-38.034049,-57.5928098,2023-01-01,Asiste Policia y Libera,Gonzalez Chaves
-38.009231,-57.5477932,2023-01-01,No Asiste,Tucuman
-37.971641,-57.5527934,2023-01-01,Hallazgo Automotor,Juan A Pena
-37.978957,-57.5715179,2023-01-01,Asiste Policia y Libera,Libertad
-38.040599,-57.5771098,2023-01-01,Asiste Policia y Libera,Roque Saenz Pena
-38.043638,-57.5557705,2023-01-01,Asiste Policia y Libera,Guanahani
-38.036624,-57.5823727,2023-01-01,Asiste Policia y Libera,Giacomo Matteotti
-38.027851,-57.5701584,2023-01-01,Asiste Policia y Libera,Doce de 10
-38.023376,-57.6069329,2023-01-01,Asiste Policia y Libera,Genova
-38.017478,-57.6198932,2023-01-01,Asiste Policia y Libera,Calabria
-38.02922,-57.58346,2023-01-01,Asiste Policia y Libera,Hipolito Bouchard
-38.02059,-57.6035938,2023-01-01,Asiste Policia y Libera,Tripulantes Del Fournier
-38.002978,-57.5923995,2023-01-01,No Asiste,Reforma Universitaria
-38.028354,-57.5586371,2023-01-01,Asiste Policia y Libera,Alejandro Fleming
-37.991873,-57.5909153,2023-01-01,Asiste Policia y Libera,Alvarado Rudecindo
-38.020857,-57.6239556,2023-01-01,Asiste Policia y Libera,Avenida Victorio Tetamanti
-37.968508,-57.6054788,2023-01-01,Asiste Policia y Libera,Brasil
-38.052473,-57.5613839,2023-01-01,Asiste Policia y Libera,Eduardo G. Carasa
-37.991873,-57.5909153,2023-01-01,Asiste Policia y Libera,Alvarado Rudecindo
-38.02922,-57.58346,2023-01-01,Asiste Policia y Libera,Arana Y Goiri
-37.99916,-57.5424627,2023-01-01,Asiste Policia y Libera,Entre Rios
-38.111105,-57.6064479,2023-01-01,Hallazgo Automotor,Calle 36
-38.034699,-57.5849654,2023-01-01,Asiste Policia y Libera,Juana Manso
-37.987541,-57.5881438,2023-01-01,Asiste Policia y Libera,Veinticinco de 05
-37.991873,-57.5909153,2023-01-01,Asiste Policia y Libera,General 07 Argentino Roca
-37.971686,-57.5996104,2023-01-01,Asiste Policia y Libera,Jose M. Calaza Coronel
-38.012322,-57.5800793,2023-01-01,Asiste Policia y Libera,San Juan
-38.039951,-57.5799177,2023-01-01,Asiste Policia y Libera,Roque Saenz Pe̱a
-37.991873,-57.5909153,2023-01-01,LPR - Se realiza seguimiento del vehiculo,Falucho
-37.99124,-57.57432,2023-01-01,Asiste Policia y Libera,Francia
-37.98046,-57.59103,2023-01-01,No Asiste,Gamal Abdel Nasser
-38.031494,-57.5503102,2023-01-01,Asiste Policia y Libera,Mendoza
-37.981645,-57.5821487,2023-01-01,Asiste Policia y Libera,Victoriano E. Montes
-38.06458,-57.5658831,2023-01-01,Asiste Policia y Libera,Pescadores
-37.97494,-57.60648,2023-01-01,Asiste Policia y Libera,Juan F. Czetz Coronel
-37.98501,-57.58599,2023-01-01,Asiste Policia y Libera,Champagnat
-38.043638,-57.5557705,2023-01-01,Asiste Policia y Libera,Rondeau
-37.95795,-57.6266578,2023-01-01,Asiste Policia y Libera,Ramon Carrillo
-37.952635,-57.5657246,2023-01-01,Asiste Policia y Libera,Joaquina Acevedo
-37.992662,-57.5980671,2023-01-01,Asiste Policia y Libera,Primera Junta
-38.052827,-57.5815795,2023-01-01,Asiste Policia y Libera,Diagonal Cesar Gascon
-37.987541,-57.5881438,2023-01-01,Se Realiza Seguimiento del Evento,Esteban Gascon
-38.02715,-57.5810893,2023-01-01,No Asiste,Mariano Castex
-37.964103,-57.6145542,2023-01-01,Asiste Policia y Libera,Veinticinco de Mayo
-37.997962,-57.5542638,2023-01-01,Asiste Policia y Libera,Moreno
-37.997093,-57.5491867,2023-01-01,Asiste Policia y Libera,Hipolito Yrigoyen
-37.987541,-57.5881438,2023-01-01,Asiste Policia y Libera,La Pampa
-37.963847,-57.6059138,2023-01-01,Asiste Policia y Libera,Balcarce
-38.029913,-57.5808377,2023-01-01,Se Realiza Seguimiento del Evento,Hipolito Bouchard
-38.031497,-57.5545189,2023-01-01,Asiste Policia y Libera,Pringles
-37.99928,-57.55387,2023-01-01,Asiste Policia y Libera,Bolivar
-38.006956,-57.5871294,2023-01-01,Se Realiza Seguimiento del Evento,Primero de Mayo
-38.005719,-57.5957701,2023-01-01,Asiste Policia y Libera,Ortiz De Zarate
-38.033221,-57.5799064,2023-01-01,Asiste Policia y Libera,Corrientes
-37.998513,-57.546153,2023-01-01,Asiste Policia y Libera,Cordoba
-37.999956,-57.5459363,2023-01-01,Asiste Policia y Libera,Juan Bautista Alberdi
-37.987541,-57.5881438,2023-01-01,LPR - Se realiza seguimiento del vehiculo,Esteban Gascon
-37.95795,-57.6266578,2023-01-01,Asiste Policia y Libera,Mario Abel Amaya Diputado
-37.961815,-57.578702,2023-01-01,Asiste Policia y Libera,San Jose De Calasanz
-38.027888,-57.57544,2023-01-01,No Asiste,Soler Miguel
-37.995449,-57.5478602,2023-01-01,Asiste Policia y Libera,Nueve de Julio
-37.978244,-57.5639149,2023-01-01,Asiste Policia y Libera,Avenida Juan Hector Jara
-37.967634,-57.5495718,2023-01-01,Asiste Policia y Libera,Chubut
-38.016949,-57.5739063,2023-01-01,Asiste Policia y Libera,Veinte de Setiembre
-38.000573,-57.5649334,2023-01-01,Asiste Policia y Libera,Rawson
-37.986349,-57.6143485,2023-01-01,Hallazgo Automotor,Onesimo Leguizamon
-37.965546,-57.5534873,2023-01-01,Asiste Policia y Libera,Ratery Ingeniero
-38.032577,-57.5876566,2023-01-01,Asiste Policia y Libera,Eduardo G. Carasa
-37.995545,-57.5522649,2023-01-01,Detencion,Salta
-37.978182,-57.5863716,2023-01-01,Se Realiza Seguimiento del Evento,Senador Enzo Bordabehere
-37.964103,-57.6145542,2023-01-01,Asiste Policia y Libera,Ecuador
-37.981067,-57.6100177,2023-01-01,Se Realiza Seguimiento del Evento,Catamarca
-38.010838,-57.5533191,2023-01-01,Asiste Policia y Libera,Castelli Juan Jose
-38.000949,-57.5415961,2023-01-01,Asiste Policia y Libera,Rivadavia
-37.923892,-57.5427289,2023-01-01,Asiste Policia y Libera,Cabrera
-37.990403,-57.5849884,2023-01-01,No Asiste,Malvinas
-37.973508,-57.5601005,2023-01-01,Persecucion Y Perdida,Rio Negro
-38.044272,-57.5928084,2023-01-01,Asiste Policia y Libera,Talcahuano
-38.006507,-57.6084355,2023-01-01,Asiste Policia y Libera,Ruta 88
-38.059621,-57.5518873,2023-01-01,Asiste Policia y Libera,Luis Piedrabuena
-38.002141,-57.6004918,2023-01-01,Asiste Policia y Libera,Ayolas
-38.031449,-57.5460357,2023-01-01,Asiste Policia y Libera,Paz
-37.990344,-57.5693109,2023-01-01,Asiste Policia y Libera,Belgrano
-38.04697,-57.554795,2023-01-01,Asiste Policia y Libera,Thomas A Edison
-37.994757,-57.5939323,2023-01-01,Asiste Policia y Libera,San Lorenzo
-37.994757,-57.5939323,2023-01-01,No Asiste,Misiones
-37.995328,-57.5663126,2023-01-01,Asiste Policia y Libera,Funes
-37.998955,-57.5479019,2023-01-01,Asiste Policia y Libera,San Martin
-37.956823,-57.5801545,2023-01-01,Asiste Policia y Libera,Zabala
-38.000949,-57.5415961,2023-01-01,Asiste Policia y Libera,Rivadavia
-38.0189,-57.5711611,2023-01-01,Asiste Policia y Libera,Vieytes
-38.053189,-57.5725697,2023-01-01,Hallazgo Automotor,Johanes Gutemberg
-38.009231,-57.5477932,2023-01-01,Asiste Policia y Libera,Tucuman
-38.006507,-57.6084355,2023-01-01,Asiste Policia y Libera,Ruta 88
-38.05784,-57.57544,2023-01-01,Detencion,Juramento
-37.996401,-57.6010993,2023-01-01,Asiste Policia y Libera,Fernandez
-38.009959,-57.5639469,2023-01-01,Asiste Policia y Libera,Catamarca
-37.997898,-57.5612653,2023-01-01,Asiste Policia y Libera,Olazabal
-38.02293,-57.5658417,2023-01-01,Asiste Policia y Libera,San Luis
-37.965546,-57.5534873,2023-01-01,Asiste Policia y Libera,Chubut
-37.99916,-57.5424627,2023-01-01,Detencion,Santiago Del Estero
-37.987171,-57.5823898,2023-01-01,Asiste Policia y Libera,Teodoro Bronzini
-37.981485,-57.6003789,2023-01-01,Persecucion Y Detencion,Alberti
-37.996401,-57.6010993,2023-01-01,No Asiste,Bordabehere
-38.001552,-57.5471858,2023-01-01,Asiste Policia y Libera,Santiago Del Estero
-38.004872,-57.5740178,2023-01-01,Asiste Policia y Libera,Olazabal
-37.9641,-57.61455,2023-01-01,Asiste Policia y Libera,Portugal
-38.009959,-57.5639469,2023-01-01,Asiste Policia y Libera,San Lorenzo
-37.997093,-57.5491867,2023-01-01,Asiste Policia y Libera,San Martin
-38.01283,-57.5450599,2023-01-01,Detencion,Sarmiento
-38.009231,-57.5477932,2023-01-01,Asiste Policia y Libera,Entre Rios
-37.995586,-57.583558,2023-01-01,Asiste Policia y Libera,Alvarado
-38.016362,-57.5690794,2023-01-01,Detencion,Juan J Paso
-37.997962,-57.5542638,2023-01-01,Asiste Policia y Libera,Belgrano
-38.016949,-57.5739063,2023-01-01,Se Realiza Seguimiento del Evento,Espana
-37.996706,-57.5901096,2023-01-01,Hallazgo Automotor,Mexico
-37.994769,-57.5871357,2023-01-01,Asiste Policia y Libera,San Lorenzo
-38.016949,-57.5739063,2023-01-01,Se Realiza Seguimiento del Evento,Veinte de Setiembre
-37.974118,-57.5943871,2023-01-01,No Asiste,Arturo Alio
-37.997898,-57.5612653,2023-01-01,Asiste Policia y Libera,Catorce de 07
-38.042711,-57.5744242,2023-01-01,Asiste Policia y Libera,Gianelli
-37.976644,-57.5964005,2023-01-01,Hallazgo Automotor,Nasser
-38.035771,-57.5593685,2023-01-01,Asiste Policia y Libera,Ayolas
-37.965546,-57.5534873,2023-01-01,Detencion,Valencia
-37.982754,-57.5843333,2023-01-01,Detencion,Montes
-37.964103,-57.6145542,2023-01-01,Asiste Policia y Libera,Canada
-38.006448,-57.5441499,2023-01-01,No Asiste,Buenos Aires
-38.003225,-57.5684679,2023-01-01,No Asiste,Marconi
-38.044304,-57.55148,2023-01-01,Asiste Policia y Libera,Ayolas
-37.995449,-57.5478602,2023-01-01,Asiste Policia y Libera,Tres de 02
-37.998955,-57.5479019,2023-01-01,Asiste Policia y Libera,San Martin
-37.965956,-57.6104459,2023-01-01,Asiste Policia y Libera,Bailey
-38.017478,-57.6198932,2023-01-01,Asiste Policia y Libera,Juan D'arienzo
-38.02715,-57.5810893,2023-01-01,Asiste Policia y Libera,Florencio Sanchez
-37.998955,-57.5479019,2023-01-01,Asiste Policia y Libera,Rivadavia
-37.970933,-57.6144444,2023-01-01,Asiste Policia y Libera,Bailey
-38.012617,-57.5866264,2023-01-01,Asiste Policia y Libera,Camusso
-38.03764,-57.5534508,2023-01-01,Asiste Policia y Libera,Santa Fe
-38.028355,-57.5339843,2023-01-01,Asiste Policia y Libera,Formosa
-38.056568,-57.5663443,2023-01-01,Asiste Policia y Libera,Thomas A Edison
-38.02293,-57.5658417,2023-01-01,Asiste Policia y Libera,Cordoba
-37.996752,-57.5475205,2023-01-01,Asiste Policia y Libera,Hipolito Yrigoyen
-37.991072,-57.5656844,2023-01-01,Asiste Policia y Libera,Don Bosco
-38.02059,-57.6035938,2023-01-01,Asiste Unidad Sanitaria y No Traslada,De La Plaza
-38.035771,-57.5593685,2023-01-01,Se Realiza Seguimiento del Evento,Doce de 10
-37.999956,-57.5459363,2023-01-01,Hallazgo Automotor,Cordoba
-38.011097,-57.592101,2023-01-01,Asiste Policia y Libera,Magallanes
-38.016949,-57.5739063,2023-01-01,Asiste Policia y Libera,Juan B Justo
-37.992662,-57.5980671,2023-01-01,Asiste Policia y Libera,Tres Arroyos
-38.034049,-57.5928098,2023-01-01,Asiste Policia y Libera,Dolores
-37.996078,-57.5512087,2023-01-01,Se Realiza Seguimiento del Evento,San Martin
-37.97015,-57.543546,2023-01-01,Asiste Policia y Libera,Derqui
-38.008048,-57.576591,2023-01-01,Asiste Policia y Libera,Matheu
-38.009194,-57.6048542,2023-01-01,Asiste Policia y Libera,Mac Gaul
-38.045428,-57.5897238,2023-01-01,Asiste Policia y Libera,Benito Lynch
-38.02549,-57.5310174,2023-01-01,Asiste Policia y Libera,Paseo Davila
-38.01326,-57.5397985,2023-01-01,Detencion,Alberti
-38.004872,-57.5740178,2023-01-01,Asiste Policia y Libera,Avellaneda
-37.999032,-57.5521837,2023-01-01,Asiste Policia y Libera,Pedro Luro
-38.025692,-57.5596354,2023-01-01,Asiste Policia y Libera,Pringles
-38.044272,-57.5928084,2023-01-01,Asiste Policia y Libera,Mario Bravo
-38.02573,-57.5692219,2023-01-01,Asiste Policia y Libera,Talcahuano
-38.042963,-57.5947315,2023-01-01,Asiste Policia y Libera,Mario Bravo
-38.003361,-57.5529726,2023-01-01,Asiste Policia y Libera,Bartolome Mitre
-38.01564,-57.5416617,2023-01-01,Asiste Policia y Libera,Garay
-37.988587,-57.6061479,2023-01-01,Asiste Policia y Libera,Arturo Alio
-38.02059,-57.6035938,2023-01-01,Asiste Policia y Libera,Polonia
-37.979096,-57.5984115,2023-01-01,Asiste Policia y Libera,Grecia
-38.044272,-57.5928084,2023-01-01,Asiste Policia y Libera,Talcahuano
-38.035753,-57.5747932,2023-01-01,Asiste Policia y Libera,Esteban Echeverria
-37.980484,-57.5685616,2023-01-01,Asiste Policia y Libera,Marconi
-38.044272,-57.5928084,2023-01-01,Asiste Policia y Libera,Talcahuano
-37.980427,-57.5822796,2023-01-01,Asiste Policia y Libera,Venticinco de 05
-37.998247,-57.5515614,2023-01-01,Asiste Policia y Libera,La Rioja
-37.998955,-57.5479019,2023-01-01,Asiste Policia y Libera,San Martin
-37.996078,-57.5512087,2023-01-01,Asiste Policia y Libera,Pedro Luro
-37.997093,-57.5491867,2023-01-01,Asiste Policia y Libera,San Luis
-38.044272,-57.5928084,2023-01-01,Asiste Policia y Libera,Matteotti
-38.010838,-57.5533191,2023-01-01,Asiste Policia y Libera,Corrientes
-37.992875,-57.5643311,2023-01-01,Asiste Policia y Libera,Rivadavia
-38.006448,-57.5441499,2023-01-01,Asiste Policia y Libera,Alte Brown
-37.993096,-57.5503209,2023-01-01,Secuestro De Vehiculo,Independencia
-38.010838,-57.5533191,2023-01-01,Asiste Policia y Libera,Alvarado
-37.990403,-57.5849884,2023-01-01,Asiste Policia y Libera,Juncal
-38.019913,-57.5620124,2023-01-01,Asiste Policia y Libera,Juan J Paso
-37.988436,-57.5663445,2023-01-01,Asiste Policia y Libera,Neuquen
-38.010241,-57.5457799,2023-01-01,Detencion,Arenales
-37.983852,-57.6022941,2023-01-01,Hallazgo Automotor,Mexico
-37.992231,-57.6033207,2023-01-01,Asiste Policia y Libera,Arturo Alio
-38.06458,-57.5658831,2023-01-01,Asiste Policia y Libera,Mario Bravo
-38.008918,-57.6138226,2023-01-01,Asiste Policia y Libera,Napoles
-38.01326,-57.5397985,2023-01-01,Asiste Policia y Libera,Gascon
-37.994994,-57.5533841,2023-01-01,Detencion,Venticinco de 05
-38.000949,-57.5415961,2023-01-01,No Asiste,Entre Rios
-37.99928,-57.55387,2023-01-01,Detencion,Gral Pueyrredon
-38.032407,-57.5569641,2023-01-01,Asiste Policia y Libera,Elcano
-38.006786,-57.5613468,2023-01-01,Asiste Policia y Libera,Alvarado
-38.016492,-57.5827392,2023-01-01,Asiste Policia y Libera,Magallanes
-38.044272,-57.5928084,2023-01-01,Asiste Policia y Libera,Benito Lynch
-37.963516,-57.557689,2023-01-01,Asiste Policia y Libera,Artigas
-37.980841,-57.5588055,2023-01-01,Asiste Policia y Libera,La Pampa
-37.98679,-57.5650311,2023-01-01,Asiste Policia y Libera,Nueve de Julio
-38.012617,-57.5866264,2023-01-01,Asiste Policia y Libera,Elcano
-38.010838,-57.5533191,2023-01-01,Asiste Policia y Libera,Roca
-38.044272,-57.5928084,2023-01-01,Asiste Policia y Libera,Benito Lynch
-37.980502,-57.5529248,2023-01-01,Asiste Policia y Libera,Brandsen
-37.974118,-57.5943871,2023-01-01,Asiste Policia y Libera,Pedro Luro
-38.028923,-57.5510208,2023-01-01,Asiste Policia y Libera,Azcuenaga
-37.98046,-57.59103,2023-01-01,Asiste Policia y Libera,Nasser
-38.009959,-57.5639469,2023-01-01,Asiste Policia y Libera,Independencia
-37.981633,-57.5933526,2023-01-01,Asiste Policia y Libera,Estado De Israel
-38.005071,-57.5713761,2023-01-01,No Asiste,Funes
-38.031497,-57.5545189,2023-01-01,Asiste Policia y Libera,Martin Rodriguez
-38.006448,-57.5441499,2023-01-01,Asiste Policia y Libera,Gascon
-38.044272,-57.5928084,2023-01-01,Asiste Policia y Libera,Benito Lynch
-38.002978,-57.5923995,2023-01-01,Asiste Policia y Libera,Gaboto
-38.006786,-57.5613468,2023-01-01,Asiste Policia y Libera,Avellaneda
-37.981392,-57.5443845,2023-01-01,Hallazgo Automotor,Santa Cruz
-37.993096,-57.5503209,2023-01-01,Asiste Policia y Libera,Tres de 02
-37.996078,-57.5512087,2023-01-01,Asiste Policia y Libera,Catamarca
-37.998513,-57.546153,2023-01-01,Asiste Policia y Libera,Juan B Alberdi
-37.996101,-57.5556947,2023-01-01,Detencion,Veinte de Setiembre
-38.015127,-57.596984,2023-01-01,Asiste Policia y Libera,Vertiz
-37.998955,-57.5479019,2023-01-01,No Asiste,San Luis
-38.007204,-57.6040867,2023-01-01,Asiste Policia y Libera,Hernandarias
-37.980484,-57.5685616,2023-01-01,Asiste Policia y Libera,Primero de Mayo
-38.050205,-57.5816754,2023-01-01,Persecucion Y Detencion,Calabria
-37.993294,-57.5702898,2023-01-01,Asiste Policia y Libera,Falucho
-38.015127,-57.596984,2023-01-01,Persecucion Y Detencion,Brumana
-37.979052,-57.5601646,2023-01-01,Asiste Policia y Libera,Neuquen
-37.954129,-57.6365989,2023-01-01,LPR - Se realiza seguimiento del vehiculo,Pedro Luro
-37.970982,-57.5651146,2023-01-01,No Asiste,Carasa
-37.993096,-57.5503209,2023-01-01,Detencion,Independencia
-37.990344,-57.5693109,2023-01-01,Asiste Policia y Libera,Belgrano
-38.003471,-57.5501622,2023-01-01,Asiste Policia y Libera,Santiago Del Estero
-38.001973,-57.5531637,2023-01-01,Asiste Policia y Libera,Santiago Del Estero
-37.974118,-57.5943871,2023-01-01,Asiste Policia y Libera,Armenia
-38.003634,-57.5588173,2023-01-01,Asiste Policia y Libera,Falucho
-38.004872,-57.5740178,2023-01-01,Asiste Policia y Libera,La Pampa
-37.98953,-57.5955129,2023-01-01,Asiste Policia y Libera,Castelli
-38.006507,-57.6084355,2023-01-01,Asiste Unidad Sanitaria y Traslada,Ruta 88
-37.998513,-57.546153,2023-01-01,Persecucion Y Detencion,Pedro Luro
-38.050205,-57.5816754,2023-01-01,Asiste Policia y Libera,Gianelli
-38.025547,-57.562426,2023-01-01,Asiste Policia y Libera,Corrientes
-38.040599,-57.5771098,2023-01-01,Asiste Policia y Libera,Agote
-38.003471,-57.5501622,2023-01-01,Asiste Policia y Libera,Santiago Del Estero
-37.974118,-57.5943871,2023-01-01,Asiste Policia y Libera,Armenia
-38.01326,-57.5397985,2023-01-01,Asiste Policia y Libera,Gascon
-37.995328,-57.5663126,2023-01-01,Asiste Policia y Libera,Avenida Colon
-37.996101,-57.5556947,2023-01-01,Asiste Policia y Libera,Jujuy
