camera_number,lat,lng,address,barrio,type,domes,fixed,lpr,corridor,school_corridor,monitoring
1019,-34.951341,-57.853101,Calle 107 esquina 68,Este,Pública (Municipal),1,3,1,Ruta 19,FALSE,TRUE
1020,-34.932176,-57.987458,Calle 121 esquina 118,Centro,Pública (Municipal),3,3,1,Ruta 2,FALSE,TRUE
1021,-35.038875,-57.928692,Calle 18 esquina 149,Villa Elvira,Pública (Municipal),1,3,0,Ruta 3,FALSE,FALSE
1022,-34.867231,-57.996737,Calle 125 esquina 105,Villa Elvira,Pública (Municipal),2,1,0,Ruta 11,FALSE,FALSE
1023,-34.982278,-57.820274,Calle 62 esquina 57,Centro,Pública (Municipal),1,1,1,Ruta 17,TRUE,FALSE
1024,-34.788463,-57.895917,Calle 89 esquina 20,San Carlos,Pública (Municipal),3,1,2,Ruta 2,TRUE,FALSE
1025,-34.865144,-57.917518,Calle 42 esquina 46,Gonnet,Pública (Municipal),3,3,2,Ruta 5,TRUE,FALSE
1026,-34.974154,-57.869307,Calle 128 esquina 35,Oeste,Pública (Municipal),2,2,1,Ruta 2,TRUE,TRUE
1027,-34.858805,-57.843109,Calle 97 esquina 106,Tolosa,Pública (Municipal),1,4,2,Ruta 10,FALSE,FALSE
1028,-34.789139,-57.944506,Calle 80 esquina 139,Oeste,Pública (Municipal),3,2,0,Ruta 15,TRUE,TRUE
1029,-35.048861,-57.855736,Calle 132 esquina 137,Ángel Etcheverry,Pública (Municipal),2,4,0,Ruta 19,FALSE,TRUE
1030,-34.837795,-57.984164,Calle 68 esquina 12,Centro,Pública (Municipal),2,4,2,Ruta 20,TRUE,TRUE
1031,-34.862468,-57.895939,Calle 68 esquina 111,Parque Saavedra,Pública (Municipal),2,3,1,Ruta 7,TRUE,TRUE
1032,-34.815316,-57.958557,Calle 78 esquina 2,Parque Saavedra,Pública (Municipal),3,3,2,Ruta 14,TRUE,TRUE
1033,-34.959692,-58.087954,Calle 28 esquina 119,Ringuelet,Pública (Municipal),2,1,1,Ruta 7,TRUE,TRUE
1034,-34.859982,-58.052105,Calle 121 esquina 54,Zona Sur,Pública (Municipal),1,2,0,Ruta 19,FALSE,TRUE
1035,-34.961955,-57.805308,Calle 103 esquina 131,Parque Saavedra,Pública (Municipal),1,1,1,Ruta 11,TRUE,FALSE
1036,-35.059353,-57.809951,Calle 87 esquina 91,Los Hornos,Pública (Municipal),2,1,1,Ruta 8,TRUE,FALSE
1037,-34.829910,-57.889757,Calle 67 esquina 26,Gonnet,Pública (Municipal),2,4,2,Ruta 1,TRUE,FALSE
1038,-34.976662,-57.806783,Calle 68 esquina 71,Parque Saavedra,Pública (Municipal),2,3,1,Ruta 6,FALSE,TRUE
1039,-34.908902,-58.010570,Calle 146 esquina 59,Zona Norte,Pública (Municipal),1,3,0,Ruta 17,FALSE,FALSE
1040,-34.923416,-57.989576,Calle 81 esquina 15,Zona Norte,Pública (Municipal),2,2,0,Ruta 9,TRUE,TRUE
1041,-34.859620,-58.004765,Calle 95 esquina 64,Este,Pública (Municipal),2,3,2,Ruta 15,FALSE,FALSE
1042,-34.848740,-57.962686,Calle 109 esquina 31,Gonnet,Pública (Municipal),3,1,0,Ruta 9,FALSE,TRUE
1043,-34.984759,-57.828287,Calle 62 esquina 4,Los Hornos,Pública (Municipal),1,2,0,Ruta 11,FALSE,TRUE
1044,-34.870345,-57.855623,Calle 87 esquina 72,Abella,Pública (Municipal),2,4,1,Ruta 6,TRUE,TRUE
1045,-34.998795,-57.992261,Calle 35 esquina 134,Zona Norte,Pública (Municipal),3,4,0,Ruta 12,FALSE,TRUE
1046,-34.836549,-57.881024,Calle 121 esquina 12,Este,Pública (Municipal),3,1,2,Ruta 13,TRUE,FALSE
1047,-34.809031,-57.983801,Calle 41 esquina 70,Gonnet,Pública (Municipal),2,3,2,Ruta 9,FALSE,TRUE
1048,-35.042661,-58.065600,Calle 90 esquina 55,Villa Elvira,Pública (Municipal),2,4,0,Ruta 6,TRUE,FALSE
1049,-34.798346,-58.096994,Calle 144 esquina 47,Villa Elvira,Pública (Municipal),3,4,1,Ruta 10,TRUE,TRUE
1050,-35.059284,-57.863236,Calle 125 esquina 54,San Carlos,Pública (Municipal),3,1,0,Ruta 8,FALSE,FALSE
1051,-35.047501,-57.805428,Calle 134 esquina 112,Los Hornos,Pública (Municipal),3,1,2,Ruta 15,TRUE,FALSE
1052,-35.070541,-57.955382,Calle 46 esquina 147,Ángel Etcheverry,Pública (Municipal),3,2,1,Ruta 19,FALSE,TRUE
1053,-35.059000,-57.929265,Calle 94 esquina 26,Abella,Pública (Municipal),1,3,0,Ruta 16,TRUE,TRUE
1054,-34.891193,-57.809600,Calle 125 esquina 121,Este,Pública (Municipal),3,3,1,Ruta 2,FALSE,TRUE
1055,-34.860243,-58.069831,Calle 42 esquina 57,Parque Saavedra,Pública (Municipal),3,3,0,Ruta 17,TRUE,FALSE
1056,-34.844996,-57.994250,Calle 3 esquina 77,Centro,Pública (Municipal),3,1,1,Ruta 7,FALSE,FALSE
1057,-34.963301,-58.083913,Calle 108 esquina 143,Zona Norte,Pública (Municipal),3,2,2,Ruta 6,TRUE,TRUE
1058,-34.829390,-57.872835,Calle 49 esquina 73,Ringuelet,Pública (Municipal),3,4,0,Ruta 6,TRUE,TRUE
1059,-34.921468,-57.997407,Calle 30 esquina 91,San Carlos,Pública (Municipal),2,1,1,Ruta 14,TRUE,TRUE
1060,-34.796904,-58.046906,Calle 95 esquina 66,Zona Norte,Pública (Municipal),3,3,1,Ruta 19,TRUE,FALSE
1061,-34.924004,-57.860182,Calle 10 esquina 39,Tolosa,Pública (Municipal),1,1,0,Ruta 2,FALSE,FALSE
1062,-34.811450,-57.970711,Calle 9 esquina 88,Oeste,Pública (Municipal),2,3,1,Ruta 19,FALSE,FALSE
1063,-34.971456,-57.935386,Calle 12 esquina 53,Zona Norte,Pública (Municipal),3,2,2,Ruta 18,FALSE,FALSE
1064,-34.949886,-57.922271,Calle 91 esquina 137,Nueva República,Pública (Municipal),1,1,2,Ruta 7,TRUE,FALSE
1065,-34.987383,-57.971370,Calle 55 esquina 125,Barrio Universitario,Pública (Municipal),2,3,0,Ruta 9,TRUE,TRUE
1066,-34.980906,-57.836682,Calle 48 esquina 99,San Carlos,Pública (Municipal),1,2,2,Ruta 14,FALSE,FALSE
1067,-34.991872,-57.812361,Calle 19 esquina 50,San Carlos,Pública (Municipal),3,1,0,Ruta 3,TRUE,FALSE
1068,-34.848537,-57.999399,Calle 37 esquina 123,Abella,Pública (Municipal),3,4,0,Ruta 1,TRUE,FALSE
1069,-34.775755,-57.854849,Calle 55 esquina 54,Ringuelet,Pública (Municipal),3,1,1,Ruta 11,FALSE,TRUE
1070,-34.819611,-57.919690,Calle 85 esquina 145,Los Hornos,Pública (Municipal),3,3,1,Ruta 18,FALSE,FALSE
1071,-35.070335,-57.893994,Calle 66 esquina 56,Parque Saavedra,Pública (Municipal),1,2,1,Ruta 2,TRUE,FALSE
1072,-34.897378,-57.833286,Calle 57 esquina 60,Barrio Universitario,Pública (Municipal),1,2,1,Ruta 17,FALSE,FALSE
1073,-35.031387,-57.868565,Calle 39 esquina 12,Los Hornos,Pública (Municipal),2,3,1,Ruta 6,FALSE,FALSE
1074,-34.809281,-57.856175,Calle 49 esquina 116,Ángel Etcheverry,Pública (Municipal),2,3,1,Ruta 5,FALSE,TRUE
1075,-34.908935,-57.962582,Calle 121 esquina 102,Los Hornos,Pública (Municipal),3,1,0,Ruta 6,TRUE,FALSE
1076,-35.067410,-58.073467,Calle 27 esquina 10,Centro,Pública (Municipal),2,3,2,Ruta 5,TRUE,FALSE
1077,-34.813181,-57.840043,Calle 83 esquina 3,San Carlos,Pública (Municipal),3,2,2,Ruta 15,FALSE,FALSE
1078,-34.872499,-57.889697,Calle 10 esquina 133,Gonnet,Pública (Municipal),3,2,1,Ruta 16,TRUE,FALSE
1079,-34.793339,-58.016063,Calle 50 esquina 95,Zona Sur,Pública (Municipal),1,1,0,Ruta 20,TRUE,TRUE
1080,-35.045260,-58.069855,Calle 37 esquina 104,San Carlos,Pública (Municipal),3,3,1,Ruta 19,FALSE,TRUE
1081,-34.860334,-58.061006,Calle 9 esquina 6,Zona Sur,Pública (Municipal),1,3,0,Ruta 17,FALSE,FALSE
1082,-34.786757,-57.806228,Calle 22 esquina 104,Los Hornos,Pública (Municipal),1,1,1,Ruta 10,FALSE,FALSE
1083,-34.847544,-57.869759,Calle 125 esquina 132,San Carlos,Pública (Municipal),2,1,1,Ruta 19,FALSE,FALSE
1084,-34.871397,-57.949030,Calle 13 esquina 75,Este,Pública (Municipal),1,1,1,Ruta 6,TRUE,TRUE
1085,-34.857648,-57.833059,Calle 35 esquina 46,Tolosa,Pública (Municipal),2,3,0,Ruta 5,TRUE,FALSE
1086,-34.832151,-58.015714,Calle 58 esquina 5,Villa Elvira,Pública (Municipal),1,1,1,Ruta 15,FALSE,TRUE
1087,-34.979070,-57.917949,Calle 88 esquina 112,Este,Pública (Municipal),2,1,0,Ruta 10,TRUE,FALSE
1088,-35.029417,-57.872372,Calle 114 esquina 27,San Carlos,Pública (Municipal),1,4,2,Ruta 6,FALSE,FALSE
1089,-34.951244,-57.964453,Calle 38 esquina 51,Zona Norte,Pública (Municipal),2,2,0,Ruta 7,TRUE,TRUE
1090,-35.034957,-57.963146,Calle 124 esquina 130,Zona Sur,Pública (Municipal),2,2,0,Ruta 4,TRUE,TRUE
1091,-34.837694,-57.900506,Calle 65 esquina 75,Este,Pública (Municipal),3,1,2,Ruta 17,FALSE,FALSE
1092,-34.977508,-58.048927,Calle 129 esquina 144,Ringuelet,Pública (Municipal),1,1,2,Ruta 7,FALSE,TRUE
1093,-34.878572,-57.983500,Calle 53 esquina 71,Nueva República,Pública (Municipal),1,1,1,Ruta 17,FALSE,FALSE
1094,-34.817112,-57.962092,Calle 69 esquina 107,Centro,Pública (Municipal),3,4,1,Ruta 16,TRUE,TRUE
1095,-34.959349,-57.918360,Calle 38 esquina 147,Centro,Pública (Municipal),2,4,2,Ruta 8,TRUE,TRUE
1096,-35.028919,-57.957534,Calle 79 esquina 43,Barrio Universitario,Pública (Municipal),3,4,1,Ruta 2,FALSE,FALSE
1097,-35.013593,-58.024087,Calle 97 esquina 129,Los Hornos,Pública (Municipal),3,4,0,Ruta 17,FALSE,TRUE
1098,-34.860830,-57.992493,Calle 94 esquina 29,Ángel Etcheverry,Pública (Municipal),3,3,1,Ruta 6,TRUE,FALSE
1099,-34.844751,-58.071263,Calle 132 esquina 56,Abella,Pública (Municipal),1,3,1,Ruta 5,TRUE,TRUE
1100,-34.957331,-57.924936,Calle 145 esquina 59,Ángel Etcheverry,Pública (Municipal),2,3,0,Ruta 6,TRUE,FALSE
1101,-35.013322,-57.867074,Calle 49 esquina 51,Villa Elvira,Pública (Municipal),1,1,2,Ruta 7,TRUE,TRUE
1102,-34.921949,-57.899513,Calle 137 esquina 25,Parque Saavedra,Pública (Municipal),2,1,1,Ruta 5,FALSE,TRUE
1103,-34.953332,-57.928037,Calle 13 esquina 37,San Carlos,Pública (Municipal),1,1,0,Ruta 13,FALSE,FALSE
1104,-34.924271,-58.074074,Calle 98 esquina 69,Tolosa,Pública (Municipal),2,1,0,Ruta 9,TRUE,FALSE
1105,-34.774632,-58.011940,Calle 56 esquina 43,Abella,Pública (Municipal),3,3,1,Ruta 9,TRUE,TRUE
1106,-34.825689,-57.857213,Calle 39 esquina 80,Ringuelet,Pública (Municipal),2,3,2,Ruta 15,FALSE,TRUE
1107,-35.039485,-58.049472,Calle 59 esquina 10,Los Hornos,Pública (Municipal),1,3,0,Ruta 13,TRUE,TRUE
1108,-34.845921,-57.865930,Calle 143 esquina 136,Barrio Universitario,Pública (Municipal),3,4,2,Ruta 19,TRUE,TRUE
1109,-34.916304,-57.852874,Calle 115 esquina 67,Barrio Universitario,Pública (Municipal),1,4,2,Ruta 12,TRUE,TRUE
1110,-34.997892,-58.064785,Calle 146 esquina 44,Villa Elvira,Pública (Municipal),3,3,0,Ruta 13,FALSE,FALSE
1111,-34.999902,-57.970193,Calle 141 esquina 82,San Carlos,Pública (Municipal),2,4,1,Ruta 17,FALSE,FALSE
1112,-35.050662,-58.036815,Calle 57 esquina 30,Ringuelet,Pública (Municipal),1,3,1,Ruta 9,TRUE,TRUE
1113,-34.972022,-58.004729,Calle 115 esquina 109,Abella,Pública (Municipal),3,3,0,Ruta 4,TRUE,FALSE
1114,-34.901022,-58.043345,Calle 1 esquina 10,San Carlos,Pública (Municipal),1,4,2,Ruta 12,FALSE,FALSE
1115,-34.895927,-57.868609,Calle 23 esquina 132,Barrio Universitario,Pública (Municipal),1,3,0,Ruta 19,TRUE,TRUE
1116,-34.798518,-58.020065,Calle 120 esquina 148,Ringuelet,Pública (Municipal),2,1,0,Ruta 12,FALSE,FALSE
1117,-35.047474,-58.045991,Calle 114 esquina 24,Gonnet,Pública (Municipal),1,2,0,Ruta 20,TRUE,FALSE
1118,-34.889000,-57.884160,Calle 15 esquina 4,Los Hornos,Pública (Municipal),2,2,1,Ruta 17,TRUE,TRUE
1119,-34.831254,-58.008585,Calle 12 esquina 128,Gonnet,Pública (Municipal),1,2,0,Ruta 8,FALSE,FALSE
1120,-34.872236,-58.093625,Calle 40 esquina 14,Parque Saavedra,Pública (Municipal),3,3,0,Ruta 19,TRUE,TRUE
1121,-34.859502,-58.090608,Calle 60 esquina 7,Gonnet,Pública (Municipal),3,2,1,Ruta 19,TRUE,TRUE
1122,-34.989203,-58.000107,Calle 86 esquina 97,Barrio Universitario,Pública (Municipal),3,1,2,Ruta 19,FALSE,FALSE
1123,-35.004398,-57.844900,Calle 56 esquina 81,Centro,Pública (Municipal),2,4,0,Ruta 5,FALSE,FALSE
1124,-34.814667,-57.820621,Calle 55 esquina 122,Abella,Pública (Municipal),3,4,1,Ruta 11,TRUE,FALSE
1125,-35.037133,-57.884269,Calle 9 esquina 50,Ringuelet,Pública (Municipal),2,3,0,Ruta 4,FALSE,FALSE
1126,-35.030974,-58.073957,Calle 11 esquina 139,Parque Saavedra,Pública (Municipal),2,2,2,Ruta 5,FALSE,FALSE
1127,-34.887857,-58.057388,Calle 135 esquina 108,Zona Norte,Pública (Municipal),3,2,0,Ruta 15,FALSE,TRUE
1128,-34.873592,-57.839617,Calle 51 esquina 50,Centro,Pública (Municipal),2,1,2,Ruta 1,TRUE,TRUE
1129,-34.994207,-58.098549,Calle 101 esquina 17,Gonnet,Pública (Municipal),2,3,0,Ruta 14,FALSE,FALSE
1130,-35.046024,-57.839451,Calle 80 esquina 34,Parque Saavedra,Pública (Municipal),2,3,0,Ruta 5,FALSE,FALSE
1131,-34.858192,-58.031154,Calle 39 esquina 57,Villa Elvira,Pública (Municipal),2,3,1,Ruta 20,FALSE,TRUE
1132,-34.981367,-57.859440,Calle 11 esquina 21,Ringuelet,Pública (Municipal),1,3,1,Ruta 16,FALSE,TRUE
1133,-35.015652,-58.090371,Calle 39 esquina 8,Nueva República,Pública (Municipal),2,4,0,Ruta 10,FALSE,FALSE
1134,-34.870289,-57.864717,Calle 82 esquina 64,Zona Norte,Pública (Municipal),2,2,2,Ruta 14,FALSE,TRUE
1135,-34.994259,-58.010186,Calle 89 esquina 27,Abella,Pública (Municipal),2,2,1,Ruta 19,TRUE,FALSE
1136,-34.892718,-58.096456,Calle 85 esquina 19,Barrio Universitario,Pública (Municipal),1,4,1,Ruta 1,FALSE,FALSE
1137,-35.000110,-58.104210,Calle 143 esquina 98,Gonnet,Pública (Municipal),1,2,2,Ruta 14,TRUE,FALSE
1138,-35.044327,-57.879981,Calle 64 esquina 79,Barrio Universitario,Pública (Municipal),2,3,0,Ruta 12,TRUE,TRUE
1139,-35.053962,-57.954089,Calle 57 esquina 96,Oeste,Pública (Municipal),2,1,1,Ruta 20,FALSE,TRUE
1140,-34.927204,-58.084272,Calle 40 esquina 11,Los Hornos,Pública (Municipal),1,1,1,Ruta 9,FALSE,TRUE
1141,-35.057693,-57.971235,Calle 17 esquina 136,Villa Elvira,Pública (Municipal),3,4,1,Ruta 20,TRUE,FALSE
1142,-34.963848,-58.057698,Calle 83 esquina 31,Los Hornos,Pública (Municipal),1,3,0,Ruta 16,FALSE,TRUE
1143,-35.068450,-57.984869,Calle 95 esquina 27,Los Hornos,Pública (Municipal),2,4,2,Ruta 6,TRUE,FALSE
1144,-34.916152,-57.973166,Calle 41 esquina 134,Ringuelet,Pública (Municipal),3,4,0,Ruta 3,FALSE,TRUE
1145,-34.999266,-58.054622,Calle 56 esquina 115,Este,Pública (Municipal),1,4,1,Ruta 19,FALSE,TRUE
1146,-34.951478,-57.918781,Calle 16 esquina 118,Ángel Etcheverry,Pública (Municipal),3,3,0,Ruta 4,TRUE,TRUE
1147,-34.805470,-57.822367,Calle 1 esquina 3,Abella,Pública (Municipal),2,4,2,Ruta 6,FALSE,TRUE
1148,-34.818461,-57.874241,Calle 26 esquina 87,Zona Sur,Pública (Municipal),3,2,0,Ruta 8,FALSE,TRUE
1149,-35.007107,-57.894590,Calle 113 esquina 53,Gonnet,Pública (Municipal),1,2,0,Ruta 1,TRUE,FALSE
1150,-35.018242,-58.052076,Calle 64 esquina 38,Ringuelet,Pública (Municipal),1,4,1,Ruta 6,TRUE,FALSE
1151,-34.842391,-57.964685,Calle 50 esquina 76,Ángel Etcheverry,Pública (Municipal),1,4,0,Ruta 13,TRUE,FALSE
1152,-35.046981,-57.922448,Calle 143 esquina 14,San Carlos,Pública (Municipal),2,2,0,Ruta 1,FALSE,FALSE
1153,-34.919505,-58.000093,Calle 29 esquina 146,Barrio Universitario,Pública (Municipal),1,3,2,Ruta 12,FALSE,TRUE
1154,-34.825223,-57.876052,Calle 29 esquina 132,Barrio Universitario,Pública (Municipal),3,3,2,Ruta 13,FALSE,TRUE
1155,-35.021530,-57.960327,Calle 37 esquina 129,Abella,Pública (Municipal),1,2,0,Ruta 20,TRUE,FALSE
1156,-34.939627,-57.942139,Calle 18 esquina 26,Oeste,Pública (Municipal),1,1,2,Ruta 12,FALSE,TRUE
1157,-34.771985,-57.901849,Calle 98 esquina 25,Gonnet,Pública (Municipal),2,2,2,Ruta 14,TRUE,FALSE
1158,-34.913888,-57.984011,Calle 79 esquina 128,Barrio Universitario,Pública (Municipal),3,1,1,Ruta 20,FALSE,TRUE
1159,-34.832245,-57.981922,Calle 22 esquina 36,Villa Elvira,Pública (Municipal),3,4,1,Ruta 3,TRUE,TRUE
1160,-34.788332,-57.836378,Calle 86 esquina 5,Zona Norte,Pública (Municipal),3,4,1,Ruta 18,TRUE,TRUE
1161,-34.927105,-57.805650,Calle 18 esquina 122,Ringuelet,Pública (Municipal),2,2,2,Ruta 3,FALSE,FALSE
1162,-34.922558,-57.982298,Calle 9 esquina 3,San Carlos,Pública (Municipal),1,2,1,Ruta 16,FALSE,TRUE
1163,-34.911935,-57.914880,Calle 143 esquina 22,Oeste,Pública (Municipal),2,1,2,Ruta 13,TRUE,FALSE
1164,-34.834064,-58.059135,Calle 4 esquina 14,Ángel Etcheverry,Pública (Municipal),3,4,1,Ruta 15,TRUE,FALSE
1165,-34.977067,-57.937101,Calle 26 esquina 7,Abella,Pública (Municipal),1,3,1,Ruta 6,TRUE,FALSE
1166,-35.055478,-58.085219,Calle 53 esquina 95,Gonnet,Pública (Municipal),3,1,2,Ruta 16,FALSE,TRUE
1167,-35.006697,-58.036079,Calle 64 esquina 35,San Carlos,Pública (Municipal),2,1,0,Ruta 20,FALSE,TRUE
1168,-34.957385,-57.848124,Calle 127 esquina 102,Centro,Pública (Municipal),2,4,0,Ruta 10,FALSE,FALSE
1169,-34.978757,-57.995002,Calle 62 esquina 128,Centro,Pública (Municipal),1,3,0,Ruta 5,FALSE,TRUE
1170,-34.867068,-57.879008,Calle 83 esquina 15,Ángel Etcheverry,Pública (Municipal),3,2,2,Ruta 8,FALSE,TRUE
1171,-34.851751,-58.096728,Calle 105 esquina 142,Zona Norte,Pública (Municipal),1,1,0,Ruta 2,FALSE,FALSE
1172,-34.816700,-57.961642,Calle 120 esquina 73,Abella,Pública (Municipal),3,3,0,Ruta 13,FALSE,FALSE
1173,-34.890411,-57.805589,Calle 55 esquina 111,Los Hornos,Pública (Municipal),2,3,2,Ruta 8,FALSE,TRUE
1174,-34.951650,-57.921570,Calle 126 esquina 54,Oeste,Pública (Municipal),2,2,2,Ruta 8,FALSE,TRUE
1175,-35.008099,-58.071126,Calle 150 esquina 53,Centro,Pública (Municipal),2,2,2,Ruta 13,FALSE,FALSE
1176,-34.870940,-57.930883,Calle 116 esquina 10,Ringuelet,Pública (Municipal),3,4,1,Ruta 12,TRUE,TRUE
1177,-34.907665,-58.092068,Calle 110 esquina 128,Tolosa,Pública (Municipal),2,1,2,Ruta 2,FALSE,FALSE
1178,-34.842658,-57.878117,Calle 34 esquina 95,Ringuelet,Pública (Municipal),3,2,0,Ruta 1,FALSE,TRUE
1179,-34.858382,-58.002137,Calle 125 esquina 137,Abella,Pública (Municipal),2,2,1,Ruta 10,TRUE,FALSE
1180,-34.837326,-57.810051,Calle 110 esquina 110,San Carlos,Pública (Municipal),2,3,2,Ruta 3,TRUE,TRUE
1181,-34.876308,-57.955398,Calle 17 esquina 138,Villa Elvira,Pública (Municipal),3,1,0,Ruta 11,TRUE,TRUE
1182,-34.945556,-57.872925,Calle 125 esquina 81,Ángel Etcheverry,Pública (Municipal),2,2,0,Ruta 17,TRUE,FALSE
1183,-34.979244,-58.069646,Calle 94 esquina 17,Ángel Etcheverry,Pública (Municipal),2,1,0,Ruta 14,FALSE,FALSE
1184,-34.844042,-57.842526,Calle 90 esquina 59,Nueva República,Pública (Municipal),3,3,1,Ruta 15,FALSE,FALSE
1185,-34.999176,-57.865838,Calle 63 esquina 118,Ángel Etcheverry,Pública (Municipal),2,4,1,Ruta 11,TRUE,TRUE
1186,-34.954353,-57.905475,Calle 8 esquina 38,Nueva República,Pública (Municipal),2,3,0,Ruta 19,FALSE,FALSE
1187,-34.815180,-57.856378,Calle 64 esquina 113,Parque Saavedra,Pública (Municipal),3,3,1,Ruta 14,TRUE,FALSE
1188,-34.961759,-57.861099,Calle 24 esquina 92,Tolosa,Pública (Municipal),3,2,1,Ruta 11,FALSE,FALSE
1189,-34.850200,-58.099357,Calle 135 esquina 73,Parque Saavedra,Pública (Municipal),2,1,2,Ruta 11,TRUE,TRUE
1190,-34.946932,-58.017571,Calle 72 esquina 90,Centro,Pública (Municipal),1,3,1,Ruta 2,TRUE,TRUE
1191,-34.816816,-57.941221,Calle 90 esquina 34,San Carlos,Pública (Municipal),2,2,0,Ruta 17,TRUE,TRUE
1192,-34.844749,-58.032334,Calle 93 esquina 98,Ángel Etcheverry,Pública (Municipal),3,3,1,Ruta 9,TRUE,TRUE
1193,-34.780237,-58.046994,Calle 138 esquina 17,Zona Norte,Pública (Municipal),2,1,1,Ruta 20,FALSE,TRUE
1194,-35.001735,-57.948964,Calle 135 esquina 147,Ángel Etcheverry,Pública (Municipal),3,4,1,Ruta 18,TRUE,TRUE
1195,-34.996254,-58.083116,Calle 81 esquina 115,Ángel Etcheverry,Pública (Municipal),1,1,1,Ruta 7,TRUE,FALSE
1196,-34.826620,-57.894061,Calle 41 esquina 41,Los Hornos,Pública (Municipal),2,4,0,Ruta 18,FALSE,FALSE
1197,-34.898795,-58.047357,Calle 54 esquina 103,Gonnet,Pública (Municipal),1,2,1,Ruta 4,FALSE,FALSE
1198,-34.790573,-57.877973,Calle 46 esquina 68,Barrio Universitario,Pública (Municipal),1,4,2,Ruta 11,FALSE,TRUE
1199,-34.959348,-57.806675,Calle 2 esquina 44,Nueva República,Pública (Municipal),2,2,2,Ruta 19,TRUE,TRUE
1200,-35.008520,-58.091131,Calle 64 esquina 94,Centro,Pública (Municipal),3,4,1,Ruta 12,TRUE,FALSE
1201,-34.938289,-57.834649,Calle 82 esquina 41,Ángel Etcheverry,Pública (Municipal),3,3,1,Ruta 14,FALSE,TRUE
1202,-35.033915,-57.818132,Calle 75 esquina 71,Gonnet,Pública (Municipal),2,4,0,Ruta 13,TRUE,TRUE
1203,-34.913703,-58.008297,Calle 37 esquina 53,Gonnet,Pública (Municipal),1,3,1,Ruta 14,FALSE,FALSE
1204,-34.785303,-57.918448,Calle 36 esquina 106,Tolosa,Pública (Municipal),3,1,2,Ruta 9,TRUE,FALSE
1205,-34.930309,-58.039268,Calle 42 esquina 119,Nueva República,Pública (Municipal),1,2,1,Ruta 2,TRUE,FALSE
1206,-34.960991,-57.992575,Calle 26 esquina 149,Ringuelet,Pública (Municipal),1,3,0,Ruta 12,TRUE,TRUE
1207,-35.002643,-58.053958,Calle 83 esquina 97,Oeste,Pública (Municipal),3,3,1,Ruta 12,FALSE,TRUE
1208,-35.065208,-57.949431,Calle 63 esquina 94,Ringuelet,Pública (Municipal),1,4,0,Ruta 4,TRUE,FALSE
1209,-34.868816,-57.937329,Calle 66 esquina 22,Ringuelet,Pública (Municipal),2,2,2,Ruta 15,TRUE,FALSE
1210,-34.815614,-57.817981,Calle 89 esquina 59,Zona Norte,Pública (Municipal),2,1,1,Ruta 16,FALSE,TRUE
